Text,Review-sentiment,Review-basic-sentiment
Bought from BestBuy online the day it was announced. I have tested in my Sony Xperia Z Ultra and my 12inch Samsung Pro tablet.Both work fine. Shows 119GB available. Only issue I have is that I paid 199.99 for it :(Best Buy will most likely match this though.,Positive,Positive
I love this card and it is super fast. Great for putting it in a tablet to keep it from slowing up. And it was $15 reg $70 gives me something to brag about too.,Strongly Positive,Positive
Has a fast response time.Your going to need to buy one of these eventually since smart phones are advancing and so are the tablets coming out.Slided it write into my phone and worked like a charm on the first try.Pictures and apps load really fast with no lag time.Love it so much im going for the 64gb and always class 10 for me.1 less thing to worry about.,Strongly Positive,Positive
I've used one of those cards in my phone for about 2 years now and never had a single problem. Recently bought another for my tablet and so far so good. Recommended,Strongly Positive,Positive
"Great value. Fast shipping. Brand you can trust.My previous card by &#34;another manufacturer&#34; died after only 3 months of use, along with everything on it.For 64 GB, this card is a beast of a value. I've dropped my phone hard several times and had no data lost from this card. It's fantastic.My primary use is recording 1080p video and high rez pictures to the device, as well as audio recordings. I use this for media.  It's fast transfer speed allows it to keep up with all my demands. Only time will tell how truly reliable/durable it turns out to be. I'm going on 2 months now as of January 2014. Any adversities I have along the way, I will post here in updates.Smashing good value of a card!TIP: When you first get your card, be sure to use your phone (or other device you'll be using it in) to format it. This is standard practice with all card based memory, and will prevent you from encountering errors or oddities with your device.",Positive,Positive
This is the third card I've ordered and I will buy a fourth when needed. The frustration free packaging is amazing! It's an envelope that has a pull-tab. Can't get any simpler than that! The card itself is a class 10+ and I have not had any issues with any of the ones I've bought. This one went to my brother to upgrade the storage on his phone.,Strongly Positive,Positive
"I got this for my Samsung Galaxy Tab 7.7 (p6800) and it worked great for about 3 weeks - September 18 through today, October 7.  It just died while I had the tablet attached to my PC and was copying another file onto it, so I've changed my rating from 5 stars to just 1 star.  I'd give 0 stars if I could.  Another user warned me that this had happened to him after 4 1/2 months, but 3 weeks?!?!?!?!?  I've reported this to Amazon and asked for a refund.Stay as far away from this card as you can, at least for the Galaxy Tab 7.7.UPDATE:  Amazon refunded my money for this card, and I replaced it with the Samsung equivalent, which is STILL working perfectly.  Don't waste your time and money on this card - get the Samsung.",Strongly Negative,Negative
"I've used the 32GB version of this card since I got it in two Android phones and no problems with either phone.  It gives me all the music, pictures, downloads, etc. storage I'll ever need.  As fast as any other card and faster than most.  I also love Amazon frustration fee packaging.  Since there are so many fakes with online retailers, buy from a trusted source like Amazon.",Strongly Positive,Positive
"Excellent brand, as good as any of the other cards I've ever used. Highly recommended for any appropriate uses. I like all of the San Disk products.",Strongly Positive,Positive
"This is one of those basic items that usually just work. In my case, I received one that just did not work. A couple of weeks ago, my phone reported an error and so I reformatted the card and transferred my music back onto it. Unfortunately it failed again two days ago and it won't even format now. I have had good luck with SanDisk before, but this one was not a good experience.",Strongly Negative,Negative
