Text,Review-basic-sentiment
"The only thing good about this movie is the artwork on the promotion poster by H. R. Geiger. Anti-nuke protesters who all looked like punk rockers of the late 1970s, and somehow became non-violent, (except for their leader, ""Splatter"") occupy the cities. Fraternity boys descend on the punkers to do some violence on them and turn them into victims. Bad acting and bad plot then descends on the real victim, you, the viewer. I gave this a ""2"" because a few sexual scenes at least give it MST3K potential.<br /><br />",Negative
"Even this early in his career, Capra was quite accomplished with his camera-work and his timing. This is a thin story -- and quite predictable at times -- but he gets very good performances out of his cast and has some rather intricate camera moves that involve the viewer intimately. The first part looks like a Cinderella story, though anyone with brains can see that the bottom will fall out of that -- the rich 'prince' will lose his fortune.<br /><br />Nonetheless, because of his good cast and fast pace, it's easy to get caught up in the clichés. Then the movie does become more original, as the married couple have to find a way to make a living. The ending is very predictable but satisfying. I also want to compliment the title-writing: very witty and fun.",Positive
"Yes i'll say before i start commenting, this movie is incredibly underrated.<br /><br />Sharon Stone is great in her role of Catherine Trammell as is Morrissey as Dr glass. He is an analyst sent in to evaluate her after the death of a sports star. Glass is drawn into a seductive game that Trammel uses to manipulate his mind.<br /><br />The acting was good (apart from Thewlis)<br /><br />Stone really has a talent with this role. She's slick, naughty and seductive and doesn't look a day older than she did in the first.She really impressed me(like in Casino). Morrisey was also good. He showed much vunerablitity in a role that needed it. Thewlis however was lame. He ruined his character and was over-the-top the whole way. He really sucked.<br /><br />Overall, this movie not as good the first but Stone is a hoot to watch. Just ignore Thewlis.",Positive
"'War movie' is a Hollywood genre that has been done and redone so many times that clichéd dialogue, rehashed plot and over-the-top action sequences seem unavoidable for any conflict dealing with large-scale combat. Once in a while, however, a war movie comes along that goes against the grain and brings a truly original and compelling story to life on the silver screen. The Civil War-era ""Cold Mountain,"" starring Jude Law, Nicole Kidman and Renée Zellweger is such a film.<br /><br />Then again, calling Cold Mountain"" a war movie is not entirely accurate. True enough, the film opens with a (quite literally) quick-and-dirty battle sequence that puts ""Glory"" director Edward Zwick shame. However, ""Cold Mountain"" is not so much about the Civil War itself as it is about the period and the people of the times. The story centers around disgruntled Confederate soldier Inman, played by Jude Law, who becomes disgusted with the gruesome war and homesick for the beautiful hamlet of Cold Mountain, North Carolina and the equally beautiful southern belle he left behind, Ada Monroe, played by Nicole Kidman. At first glance, this setup appears formulaic as the romantic interest back home gives the audience enough sympathy to root for the reluctant soldier's tribulations on the battlefield. Indeed, the earlier segments of the film are relatively unimpressive and even somewhat contrived.<br /><br />""Cold Mountain"" soon takes a drastic turn, though, as the intrepid hero Inman turns out to be a deserter (incidentally saving the audience from the potentially confusing scenario of wanting to root for the Confederates) and begins a long odyssey homeward. Meanwhile, back at the farm, Ada's cultured ways prove of little use in the fields; soon she is transformed into something of a wilderbeast. Coming to Ada's rescue is the course, tough-as-nails Ruby Thewes, played by Renée Zellweger, who helps Ada put the farm back together and, perhaps more importantly, cope with the loneliness and isolation the war seems to have brought upon Ada.<br /><br />Within these two settings, a vivid, compelling and, at times, very disturbing portrait of the war-torn South unfolds. The characters with whom Inman and Ada interact are surprisingly complex, enhanced by wonderful performances of Brendan Gleeson as Ruby's deadbeat father, Ray Winstone as an unrepentant southern ""lawman,"" and Natalie Portman as a deeply troubled and isolated young mother. All have been greatly affected and changed by ""the war of Northern aggression,"" mostly for the worse. The dark, pervading anti-war message, accented by an effective, haunting score and chillingly beautiful shots of Virginia and North Carolina, is communicated to the audience not so much by gruesome battle scenes as by the scarred land and traumatized people for which the war was fought. Though the weapons and tactics of war itself have changed much in the past century, it's hellish effect on the land is timelessly relevant.<br /><br />Director Anthony Minghella manages to maintain this gloomy mood for most of the film, but the atmosphere is unfortunately denigrated by a rather tepid climax that does little justice to the wonderfully formed characters. The love story between Inman and Ada is awkwardly tacked onto the beginning and end of the film, though the inherently distant, abstracted and even absurd nature of their relationship in a way fits the dismal nature of the rest of the plot.<br /><br />Make no mistake, ""Cold Mountain"" has neither the traits of a feel-good romance nor an inspiring war drama. It is a unique vision of an era that is sure not only to entertain but also to truly absorb the audience into the lives of a people torn apart by a war and entirely desperate to be rid of its terrible repercussions altogether.",Negative
"This has got to be the worst movie I haver ever seen Nielson in. This movie just does not have what he needs to be funny. I think the reasons that the Naked Gun and the like movies is that they did not require Nielson to be funny. He just played the roles as straight as he could while all of the comedy that went on was mostly visual. But when you put him in a movie where he has to be funny, he isn't. The movie had only one good part, and this may be considered a spoiler by some, and that the beginning credits were animated. If the whole movie had been animated, it might have been good. I had no intention of seeing this movie when I saw the ads for it, and the only reason I did see it was because the tickets were given to me by someone who won them in a radio contest. This is the first and probably only movie I have ever walked out on. On a scale of 1-10 I give this movie a score of -100.",Negative
"I saw the movie ""Hoot"" and then I immediately decided to comment it. The truth is that NATURE needs protection from us because we are the dominant specie of this planet. Some people think that if they have money, they can do whatever they want to, which probably is like, but if they think about the future more then they think about themselves they would do something useful! This movie is not just about kids, this movie is showing us that the kids are usually the ones that care more about it then the adults do. When I was twelve, I saw some waterlilies and I knew they are protected by law and didn't even dare to touch them not fearing of the law, but fearing that I might harm them actually. (I am currently 15) What so ever, the acting was great, the 3 main characters are well interpreted and we all have to learn from them. I hope you all think about what you saw in that movie!!! and Enjoy!",Positive
"Anyone who thinks Kool Moe Dee, Carol Alt, and Corey Feldman comprise a list of good actors must be smoking something I'd love to try sometime. Where to begin: lousy soundtrack, hammy acting, ""action"" in places. This is the typical amateurishly written hack fodder that washed-up has-been and never-was's love to star in. I actually felt embarrassed for the ""stars"" in this ""film"". The only thespian missing to top this turd was Gary Coleman, who if he would have been in the movie, would have made it at least somewhat howlingly bad, rather than just plain bad.<br /><br />There was one part in the film where Carol Alt screamed, ""DO YOU THINK I'M AN IDIOT?!?"" Yes, Carol, I do, your agent does, and PLEASE for the love of all that is decent and holy... GO AWAY and stop degrading yourself like this! This film is something Anna Nicole Smith would take part in.<br /><br />I would tell you what the plot was, but that would be one more sentence fragment to this article, plus my mind drifted many times during the movie anyway, so I barely paid attention.",Negative
"Basically there's a family where a little boy (Jake) thinks there's a zombie in his closet & his parents are fighting all the time.<br /><br />This movie is slower than a soap opera... and suddenly, Jake decides to become Rambo and kill the zombie.<br /><br />OK, first of all when you're going to make a film you must Decide if its a thriller or a drama! As a drama the movie is watchable. Parents are divorcing & arguing like in real life. And then we have Jake with his closet which totally ruins all the film! I expected to see a BOOGEYMAN similar movie, and instead i watched a drama with some meaningless thriller spots.<br /><br />3 out of 10 just for the well playing parents & descent dialogs. As for the shots with Jake: just ignore them.",Negative
"This movie down-shifts from 4th into 1st without bothering with 3rd or 2nd, grinding gears all the way to the sappy, b-movie finish-line. The con at the beginning is easily the best and cleverest part of the movie. That is worth seeing. The scene with Harlow in the bathtub occurs so fast, you may miss it. Definitely not worth all the ballyhoo provided by Robert Osborne in his TCM intro to this bad-to-mediocre confusion. There is no real conflict, and all of the characters in this supposed fringe society turn out to be saints - especially the unbelievable character, Al. I wonder if he's got a job for me in Cincinnati?",Negative
"These kinda movies just don't get the credit they deserve. This is my 2nd all time favorite movie, (Stand By Me being 1st.) The reason I watched this movie was because Wil Wheaton was in it and he is my most favorite person in the whole world and I think he done an amazing job in this movie and so did Sean Astin. I just watched it last night actually and it just amazed me. Everything in the movie is very exceptional. The script, the acting, the screenplay. I was on the edge of my seat 80% of the time, and if my mom wasn't in the room I would have absolutely balled whenever Joey Trotta (Wil Wheaton) died. I did not see that coming!! At all!! I was real surprised when I heard that it wasn't real popular back in the 90's. I was born a few years after it came out so, of course, I didn't go see it in the theaters, but im sure I would have if I would have been alive. If any of my friends watched this, they would be like, ""uhh okay?"" but thats just cause their not cool enough to appreciate work like this. If you haven't seen this movie, or are wanting to watch something that is the bomb, this is the movie for you to watch.",Positive
