model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
llama3.1:8b,0,0.878,0.2791734360459518,0.2733333333333333,0.0849393343622842,0.2733333333333333,0.8683333333333334,282.3883333333333,371,321.6268033409264
llama3.1:8b,10,0.46,0.3145431074095318,0.315,0.1003053489673272,0.315,0.91,592.87,685,1288.8478260869565
llama3.1:8b,20,0.423,0.3128524195188481,0.305,0.1299868073585656,0.305,0.9183333333333332,895.72,1272,2117.5413711583924
llama3.1:8b,30,0.399,0.3237337286479529,0.32,0.145177609634296,0.32,0.9316666666666666,1221.165,1351,3060.563909774436
llama3.1:8b,40,0.402,0.3338762957144804,0.3216666666666666,0.1280677765333059,0.3216666666666666,0.905,1553.415,1714,3864.216417910448
llama3.1:8b,50,0.377,0.3261169315258413,0.32,0.1217021414515438,0.32,0.94,1872.2116666666664,2055,4966.078691423519
llama3.1:8b,5,0.497,0.3304342644885495,0.33,0.1116632426145846,0.33,0.9083333333333332,445.525,527,896.4285714285713
deepseek-r1:8b,0,7.123,0.2100249070526023,0.1783333333333333,0.0253482572596511,0.1783333333333333,0.665,1086.32,6161,152.508774392812
deepseek-r1:8b,50,4.613,0.3223885888390465,0.3216666666666666,0.2338949241661951,0.3216666666666666,0.9916666666666668,2394.085,6614,518.9865597225232
deepseek-r1:8b,40,4.403,0.2973265208722516,0.295,0.1770157405312768,0.295,0.98,2050.87,5808,465.78923461276406
deepseek-r1:8b,30,4.188,0.3114248466186595,0.3066666666666666,0.201333255913202,0.3066666666666666,0.9816666666666668,1699.93,5270,405.9049665711557
deepseek-r1:8b,20,4.383,0.3041153017618432,0.2983333333333333,0.161348493556853,0.2983333333333333,0.97,1401.475,5276,319.7524526579968
deepseek-r1:8b,10,4.348,0.2776907647634391,0.2733333333333333,0.1665587757324045,0.2733333333333333,0.9733333333333334,1098.0566666666666,5198,252.5429316160687
deepseek-r1:8b,5,4.248,0.2992554355636087,0.2966666666666667,0.1602851604441804,0.2966666666666667,0.9716666666666668,936.9383333333334,5302,220.55987131198995
qwen2.5:14b,30,0.911,0.3845341622683983,0.3783333333333333,0.1861043421369437,0.3783333333333333,0.9616666666666668,1213.155,1372,1331.673984632272
qwen2.5:14b,10,0.984,0.3725231335355263,0.355,0.18044005602498,0.355,0.94,585.6366666666667,772,595.1592140921409
qwen2.5:14b,5,1.032,0.3810106930120009,0.375,0.2010706682634324,0.375,0.9466666666666668,437.7633333333333,638,424.18927648578807
qwen2.5:14b,0,1.282,0.3795091248069918,0.3716666666666666,0.1719605849597763,0.3716666666666666,0.9366666666666666,263.98,472,205.91263650546023
qwen2.5:14b,40,0.933,0.3960697269338408,0.39,0.2085442806448948,0.39,0.9716666666666668,1545.131666666667,1751,1656.089674883887
qwen2.5:14b,20,0.924,0.3864462666935259,0.3666666666666666,0.2017995569506131,0.3666666666666666,0.9533333333333334,888.7833333333333,1052,961.8867243867244
qwen2.5:14b,50,0.902,0.3894532269985551,0.38,0.2267116461454669,0.38,0.9633333333333334,1864.5016666666668,2025,2067.075018477457
deepseek-r1:14b,50,4.558,0.3699684103342793,0.3566666666666667,0.2526646967206978,0.3566666666666667,0.9866666666666668,2169.5383333333334,5470,475.9847155185023
deepseek-r1:14b,0,6.213,0.3401290300005969,0.32,0.1940373842779885,0.32,0.9516666666666668,659.5533333333333,2059,106.15698267074411
deepseek-r1:14b,5,4.38,0.3519369611079562,0.3466666666666667,0.2237638081446225,0.3466666666666667,0.9733333333333334,732.3733333333333,1885,167.20852359208524
deepseek-r1:14b,10,4.329,0.3726943082769677,0.375,0.2886389430044755,0.375,0.9783333333333332,877.23,2773,202.64033264033264
deepseek-r1:14b,20,4.307,0.3826689301447317,0.3733333333333333,0.3057262248775673,0.3733333333333333,0.9866666666666668,1179.39,2375,273.8309728349199
deepseek-r1:14b,30,4.379,0.353106922528249,0.34,0.2538330523311546,0.34,0.98,1508.3566666666666,3058,344.4523102687067
deepseek-r1:14b,40,4.446,0.3869330938794944,0.3683333333333333,0.3047069072745586,0.3683333333333333,0.9833333333333332,1841.115,3663,414.10593792172745
qwen2.5:32b,30,2.021,0.3704516089990705,0.355,0.2354365201521144,0.355,0.9616666666666668,1224.263333333333,1374,605.7710704271813
qwen2.5:32b,20,2.094,0.3636805246275589,0.3466666666666667,0.1907249309649081,0.3466666666666667,0.9466666666666668,899.2283333333334,1065,429.43091372174473
qwen2.5:32b,10,2.135,0.36653219990474,0.35,0.1774025132221481,0.35,0.945,594.415,757,278.4145199063232
qwen2.5:32b,5,2.062,0.3614102608242176,0.3483333333333333,0.2050800812713548,0.3483333333333333,0.97,442.715,695,214.70174587778857
qwen2.5:32b,0,2.595,0.3402559628416743,0.33,0.19884787648888,0.33,0.95,271.18,426,104.5009633911368
qwen2.5:32b,40,2.058,0.370501405966204,0.36,0.2001118323644951,0.36,0.9583333333333334,1555.985,1801,756.0665694849368
qwen2.5:32b,50,1.988,0.3786968640055147,0.3666666666666666,0.2250281511580061,0.3666666666666666,0.9683333333333334,1875.0533333333333,2002,943.1857813547954
deepseek-r1:32b,5,8.354,0.3811241304929694,0.3716666666666666,0.2561942340695166,0.3716666666666666,0.9783333333333332,714.6366666666667,1648,85.5442502593568
deepseek-r1:32b,10,8.407,0.3779160903975529,0.3733333333333333,0.2947571640052434,0.3733333333333333,0.99,865.6833333333333,2178,102.97172990761666
deepseek-r1:32b,20,8.353,0.3838279522105803,0.375,0.3039753753945334,0.375,0.9883333333333332,1167.743333333333,2165,139.79927371403488
deepseek-r1:32b,30,8.255,0.4014596782971781,0.385,0.2752948835862049,0.385,0.985,1489.235,2369,180.4039975772259
deepseek-r1:32b,40,8.405,0.3942331016281509,0.3816666666666666,0.2457025761883366,0.3816666666666666,0.9783333333333332,1822.6233333333328,4105,216.84989093793376
deepseek-r1:32b,50,8.433,0.4113581665841763,0.3983333333333333,0.320534728935171,0.3983333333333333,0.9916666666666668,2142.6966666666667,6345,254.08474643266533
deepseek-r1:32b,0,12.403,0.3474889323966393,0.3266666666666666,0.1263675239605074,0.3266666666666666,0.9033333333333332,570.785,2126,46.01991453680561
llama3.3:70b,5,2.979,0.3808740926563372,0.3783333333333333,0.2126994022330854,0.3783333333333333,0.9366666666666666,456.89166666666665,554,153.3708179478572
llama3.3:70b,0,4.229,0.386057611051792,0.3783333333333333,0.2357623104284542,0.3783333333333333,0.9583333333333334,292.19,454,69.09198392054859
llama3.3:70b,10,2.976,0.3939889008753724,0.3916666666666666,0.2280259154155448,0.3916666666666666,0.9483333333333334,606.59,732,203.82728494623657
llama3.3:70b,30,2.859,0.3858787739770392,0.3816666666666666,0.2468508860972765,0.3816666666666666,0.96,1237.275,1419,432.76495278069257
llama3.3:70b,40,2.889,0.386290482674768,0.38,0.21725167919449,0.38,0.95,1568.6166666666666,1701,542.9618091611861
llama3.3:70b,50,2.765,0.3978054037430005,0.3933333333333333,0.2266172678317504,0.3933333333333333,0.95,1887.631666666667,2041,682.6877637130801
llama3.3:70b,20,3.024,0.3817294593470994,0.3733333333333333,0.2213897325715076,0.3733333333333333,0.9383333333333334,912.615,1017,301.7906746031746
deepseek-r1:70b,0,20.757,0.3397440950309676,0.33,0.1986327466131925,0.33,0.965,622.5083333333333,1344,29.990284402049102
deepseek-r1:70b,50,15.452,0.4267635054205277,0.4216666666666667,0.3727575118605801,0.4216666666666667,0.9966666666666668,2131.73,3476,137.95819311415997
deepseek-r1:70b,40,16.533,0.4325182422871054,0.43,0.3660952828725122,0.43,0.9966666666666668,1833.6366666666668,3399,110.90767959031432
deepseek-r1:70b,30,16.846,0.4406977916016767,0.4316666666666666,0.3656868570388952,0.4316666666666666,0.9883333333333332,1511.2133333333334,2576,89.70754679646998
deepseek-r1:70b,20,16.274,0.4400213217665354,0.4333333333333333,0.3723171946081381,0.4333333333333333,0.9966666666666668,1175.7066666666667,2584,72.24447994756463
deepseek-r1:70b,10,17.251,0.4456629790538505,0.44,0.3930937003070596,0.44,0.9866666666666668,890.8366666666667,4621,51.63971170753386
deepseek-r1:70b,5,16.652,0.403276884246974,0.4,0.3328321859307038,0.4,0.99,730.6183333333333,1846,43.87571062535031
deepseek-v3,0,6.18,0.3910251554427713,0.3766666666666666,0.2814733065134419,0.3766666666666666,0.9816666666666668,259.51666666666665,313,41.99298813376483
