model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
llama3.1:8b,0,1.258,0.9758142887598884,0.9747126436781608,0,0,0.9977011494252872,436.6505747126437,1362,347.09902600369134
llama3.1:8b,10,0.525,0.9780739426060784,0.9747126436781608,0,0,0.993103448275862,5174.993103448276,6074,9857.129720853858
llama3.1:8b,20,0.75,0.9769144963383288,0.9724137931034482,0,0,0.9908045977011496,9451.245977011497,14907,12601.661302681992
llama3.1:8b,30,0.553,0.9745461358267326,0.9701149425287356,0,0,0.9908045977011496,12036.786206896551,12951,21766.34033796845
llama3.1:8b,40,0.608,0.9675620090593384,0.960919540229885,0,0,0.986206896551724,14060.347126436782,15037,23125.57093163945
llama3.1:8b,50,0.666,0.9687149712203568,0.960919540229885,0,0,0.9839080459770116,16227.620689655172,17895,24365.79683131407
llama3.1:8b,5,0.455,0.9756692651110814,0.9701149425287356,0,0,0.9885057471264368,2572.9333333333334,3543,5654.798534798535
deepseek-r1:8b,0,2.961,0.9224724104048202,0.8896551724137931,0,0,0.928735632183908,758.8045977011494,2022,256.2663281665483
deepseek-r1:8b,50,2.519,0.902189256678214,0.8873563218390804,0,0,0.9655172413793104,16422.42528735632,17702,6519.422503912791
deepseek-r1:8b,40,3.117,0.8871754035576165,0.8666666666666667,0,0,0.9517241379310344,14333.820689655173,16920,4598.59502395097
deepseek-r1:8b,30,3.266,0.90356080274259,0.896551724137931,0,0,0.9816091954022989,12354.758620689656,13466,3782.840973879258
deepseek-r1:8b,20,3.187,0.934682717511922,0.92183908045977,0,0,0.9724137931034482,9776.23448275862,10588,3067.535137357584
deepseek-r1:8b,10,3.208,0.957129772870734,0.9517241379310344,0,0,0.9885057471264368,5545.774712643678,7344,1728.7327657866826
deepseek-r1:8b,5,3.156,0.9239766199978044,0.9080459770114944,0,0,0.9632183908045976,2953.1011494252875,4092,935.7101233920428
qwen2.5:14b,30,1.392,0.9861425525117208,0.9816091954022989,0,0,0.9908045977011496,12100.51264367816,13050,8692.89701413661
qwen2.5:14b,10,1.958,0.9826123301985372,0.9747126436781608,0,0,0.9839080459770116,5231.611494252874,6154,2671.915982764491
qwen2.5:14b,5,1.981,0.9802515006472764,0.9701149425287356,0,0,0.9793103448275862,2626.9126436781607,3591,1326.053833255003
qwen2.5:14b,0,2.108,0.973418055184294,0.9701149425287356,0,0,0.993103448275862,426.4827586206897,1362,202.31629915592487
qwen2.5:14b,40,1.363,0.9907571987202276,0.986206896551724,0,0,0.9908045977011496,14125.36091954023,15018,10363.4342769921
qwen2.5:14b,20,1.775,0.982598819098831,0.9747126436781608,0,0,0.9839080459770116,9505.372413793104,10429,5355.139388052453
qwen2.5:14b,50,1.636,0.9895957249497752,0.9839080459770116,0,0,0.9885057471264368,16299.533333333333,17254,9963.039934800328
deepseek-r1:14b,50,4.425,0.972245149261928,0.9701149425287356,0,0,0.9954022988505749,16477.77011494253,17670,3723.789856484188
deepseek-r1:14b,0,6.355,0.9582507740285968,0.9517241379310344,0,0,0.986206896551724,823.3655172413793,2030,129.56184378306517
deepseek-r1:14b,5,5.334,0.9585555721261536,0.9586206896551724,0,0,1.0,2941.8988505747125,3849,551.5370923462153
deepseek-r1:14b,10,5.048,0.9597048079461152,0.9586206896551724,0,0,0.9977011494252872,5517.006896551724,6931,1092.9094486037488
deepseek-r1:14b,20,5.761,0.9746939932916352,0.9747126436781608,0,0,1.0,9817.57011494253,10921,1704.14339783762
deepseek-r1:14b,30,6.002,0.9632183908045976,0.9632183908045976,0,0,1.0,12416.103448275862,14035,2068.661021038964
deepseek-r1:14b,40,5.116,0.9710842267837446,0.967816091954023,0,0,0.993103448275862,14365.52183908046,16009,2807.959702713147
qwen2.5:32b,30,2.213,0.9838419836473516,0.9816091954022989,0,0,0.9954022988505749,12138.898850574711,13083,5485.268346396165
qwen2.5:32b,20,2.242,0.9814379050747924,0.9747126436781608,0,0,0.986206896551724,9535.577011494252,10469,4253.156561772637
qwen2.5:32b,10,2.742,0.9826989786626548,0.9816091954022989,0,0,0.9977011494252872,5241.12183908046,6193,1911.4229901825163
qwen2.5:32b,5,3.541,0.9838961775492224,0.9839080459770116,0,0,1.0,2631.485057471265,3544,743.147432214421
qwen2.5:32b,0,3.625,0.9781226534277008,0.9770114942528736,0,0,0.9977011494252872,423.9816091954023,1344,116.96044391597306
qwen2.5:32b,40,1.895,0.9815257241079216,0.9793103448275862,0,0,0.9954022988505749,14151.942528735632,15146,7468.043550783975
qwen2.5:32b,50,1.985,0.9826929816745374,0.9793103448275862,0,0,0.993103448275862,16322.114942528737,17292,8222.727930744953
deepseek-r1:32b,5,10.066,0.9549073986477846,0.9494252873563218,0,0,0.9885057471264368,2923.593103448276,4473,290.44239056708483
deepseek-r1:32b,10,10.267,0.9642444041137328,0.960919540229885,0,0,0.993103448275862,5529.243678160919,6686,538.5452106906516
deepseek-r1:32b,20,11.637,0.9511328163669364,0.9402298850574712,0,0,0.9770114942528736,9835.777011494252,11301,845.2158641827148
deepseek-r1:32b,30,12.025,0.9617467771811328,0.9540229885057472,0,0,0.9839080459770116,12433.002298850575,14565,1033.929505101919
deepseek-r1:32b,40,12.827,0.9710713118892752,0.9655172413793104,0,0,0.9885057471264368,14461.35632183908,15676,1127.415320951047
deepseek-r1:32b,50,14.788,0.9627085455162714,0.9494252873563218,0,0,0.9724137931034482,16663.816091954024,17954,1126.8471796019762
deepseek-r1:32b,0,10.329,0.9603764592899372,0.9471264367816092,0,0,0.9724137931034482,735.1540229885057,1728,71.17378477960168
llama3.3:70b,5,11.316,0.9770386610629612,0.9770114942528736,0,0,1.0,2613.894252873564,3573,230.99100856076024
llama3.3:70b,0,25.103,0.980447456687334,0.9793103448275862,0,0,0.9977011494252872,452.36551724137934,1404,18.020376737496687
llama3.3:70b,10,11.853,0.9816244799221666,0.9816091954022989,0,0,1.0,5210.013793103448,6170,439.55233216092535
llama3.3:70b,30,14.793,0.990808618213608,0.9908045977011494,0,0,1.0,12065.103448275862,13041,815.5954470544084
llama3.3:70b,40,19.255,0.9931049934248392,0.993103448275862,0,0,1.0,14096.514942528736,15059,732.0963356286023
llama3.3:70b,50,22.981,0.990808618213608,0.9908045977011494,0,0,1.0,16266.55632183908,17225,707.8263052886766
