model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
qwen3:4b(N),0,0.514,0.9442476474728418,0.9346642468239564,0.758812322172943,0.7332123411978222,1.0,189.67876588021778,1244,369.0248363428361
qwen3:4b(N),5,0.43,0.9307132584975031,0.9056261343012704,0.7610966893707983,0.7259528130671506,1.0,782.6787658802178,1837,1820.1831764656229
qwen3:4b(N),10,0.444,0.9364062371961829,0.9165154264972777,0.8215413181380088,0.8076225045372051,1.0,1070.6787658802177,2125,2411.4386618923822
qwen3:4b(N),20,0.452,0.9357761503566785,0.9128856624319419,0.804866628297249,0.7876588021778584,1.0,1694.6787658802177,2749,3749.289305044729
qwen3:4b(N),30,0.467,0.9350291538624864,0.9147005444646098,0.8213483765024332,0.8148820326678766,1.0,2250.6787658802177,3305,4819.440612163206
qwen3:4b(N),40,0.476,0.9464927651996036,0.9364791288566243,0.838375970789079,0.8366606170598911,1.0,2873.6787658802177,3928,6037.1402644542395
qwen3:4b(N),50,0.489,0.9425510343196591,0.9310344827586207,0.8293320449104127,0.8275862068965517,1.0,3588.6787658802177,4643,7338.8113821681345
qwen3:4b(T),0,3.979,0.9549502827549199,0.9491833030852994,0.6991810722355627,0.6715063520871143,1.0,189.67876588021778,1244,47.66995875351037
qwen3:4b(T),5,3.582,0.9465219702810739,0.9364791288566243,0.8017618763699065,0.7858439201451906,1.0,782.6787658802178,1837,218.50328472367892
qwen3:4b(T),10,3.706,0.9401298313664385,0.9292196007259528,0.8022689335419346,0.79491833030853,1.0,1070.6787658802177,2125,288.90414621700427
qwen3:4b(T),20,3.933,0.9540298325595528,0.9473684210526315,0.8425139246833832,0.8366606170598911,1.0,1694.6787658802177,2749,430.88704955001725
qwen3:4b(T),30,4.018,0.9486147358780145,0.941923774954628,0.829455472359113,0.8275862068965517,1.0,2250.6787658802177,3305,560.149020876112
qwen3:4b(T),40,4.13,0.9553770061717399,0.9509981851179673,0.8311315069685016,0.8366606170598911,1.0,2873.6787658802177,3928,695.8059965811665
qwen3:4b(T),50,4.912,0.9605542098223993,0.9528130671506352,0.813340477087925,0.8185117967332124,1.0,3588.6787658802177,4643,730.5942112948326
qwen3:8b(N),0,0.546,0.9538210192370318,0.9546279491833031,0.7105630247982702,0.6860254083484574,1.0,189.67876588021778,1244,347.39700710662595
qwen3:8b(N),5,0.449,0.958579577182105,0.9582577132486388,0.6518851821123864,0.6261343012704175,1.0,782.6787658802178,1837,1743.1598349225342
qwen3:8b(N),10,0.451,0.9556597408808092,0.9618874773139746,0.7956424304475889,0.7858439201451906,1.0,1070.6787658802177,2125,2374.010567361902
qwen3:8b(N),20,0.577,0.9552412323725123,0.956442831215971,0.8176138080990891,0.8076225045372051,1.0,1694.6787658802177,2749,2937.051587314069
qwen3:8b(N),30,1.547,0.9547791355267368,0.956442831215971,0.8448801785222534,0.8421052631578947,1.0,2250.6787658802177,3305,1454.8666877053768
qwen3:8b(N),40,1.414,0.9569836273904252,0.9600725952813067,0.8443598997365829,0.8439201451905626,1.0,2873.6787658802177,3928,2032.304643479645
qwen3:8b(N),50,1.358,0.9519067832824256,0.956442831215971,0.8376636852721625,0.838475499092559,1.0,3588.6787658802177,4643,2642.620593431677
qwen3:8b(T),0,4.411,0.9568066549558142,0.956442831215971,0.7787684816066612,0.764065335753176,1.0,189.67876588021778,1244,43.00130715942367
qwen3:8b(T),5,4.665,0.9497578751608857,0.9437386569872959,0.7632062150756764,0.7422867513611615,0.9981851179673321,782.6805807622504,1837,167.77718773038595
qwen3:8b(T),10,8.049,0.9553167400668741,0.9528130671506352,0.8126982402695979,0.8076225045372051,0.9981851179673321,1070.676950998185,2125,133.01987215780656
qwen3:8b(T),20,8.064,0.9565844479851698,0.9546279491833031,0.8215723681887498,0.8203266787658802,1.0,1694.6787658802177,2749,210.15361680062225
qwen3:8b(T),30,8.353,0.9708309171249455,0.9709618874773139,0.8483737838671904,0.8493647912885662,1.0,2250.6787658802177,3305,269.445560383122
qwen3:8b(T),40,11.42,0.9594787447438538,0.9618874773139746,0.8192933001814156,0.8275862068965517,1.0,2873.6787658802177,3928,251.63561872856548
qwen3:8b(T),50,8.587,0.9664950652148815,0.9673321234119783,0.8307907468379125,0.8366606170598911,1.0,3588.6787658802177,4643,417.91996807735154
qwen3:14b(N),0,2.29,0.9415095744086941,0.9201451905626135,0.7027212778489224,0.6642468239564429,1.0,189.67876588021778,1244,82.82915540620864
qwen3:14b(N),5,1.984,0.9470690698208064,0.9292196007259528,0.7138772509083079,0.6787658802177858,1.0,782.6787658802178,1837,394.49534570575497
qwen3:14b(N),10,1.993,0.9466630115069506,0.9328493647912885,0.7849470581383362,0.7622504537205081,1.0,1070.6787658802177,2125,537.2196517211328
qwen3:14b(N),20,2.044,0.9459145651960991,0.9310344827586207,0.7911763267313096,0.7676950998185118,1.0,1694.6787658802177,2749,829.0992005284822
qwen3:14b(N),30,2.118,0.9528158033847907,0.941923774954628,0.8307317114847584,0.8148820326678766,1.0,2250.6787658802177,3305,1062.6434210954758
qwen3:14b(N),40,2.135,0.9568499383074145,0.9491833030852994,0.8408835121914936,0.8330308529945554,1.0,2873.6787658802177,3928,1345.9853704356992
qwen3:14b(N),50,2.363,0.9539963773322475,0.9473684210526315,0.8255741472513612,0.8203266787658802,1.0,3588.6787658802177,4643,1518.6960498858307
qwen3:14b(T),0,10.106,0.9484178683907991,0.941923774954628,0.7449419375768072,0.7223230490018149,1.0,189.67876588021778,1244,18.768925972711042
qwen3:14b(T),5,21.219,0.9403974255963626,0.9219600725952813,0.761679437662059,0.7313974591651543,1.0,782.6787658802178,1837,36.885751726293314
qwen3:14b(T),10,11.422,0.9593129959047824,0.9509981851179673,0.8017937526096258,0.7858439201451906,1.0,1070.6787658802177,2125,93.73829153215003
qwen3:14b(T),20,10.36,0.9611302710516065,0.9546279491833031,0.8025026004742996,0.7894736842105263,1.0,1694.6787658802177,2749,163.57903145561949
