model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
qwen3:4b(N),0,0.447,0.3753989184522117,0.36666666666666664,0,0,0.9683333333333334,281.31,333,629.3288590604027
qwen3:4b(N),5,0.306,0.38703233001006654,0.38333333333333336,0,0,0.9566666666666667,443.46,485,1449.2156862745098
qwen3:4b(N),10,0.303,0.42391387481502446,0.4216666666666667,0,0,0.9666666666666667,592.4583333333334,653,1955.3080308030806
qwen3:4b(N),20,0.308,0.4200910549934898,0.42,0,0,0.9866666666666667,899.1783333333333,948,2919.410173160173
qwen3:4b(N),30,0.317,0.3988175350391034,0.39,0,0,0.9716666666666667,1226.7866666666666,1309,3869.9894847528917
qwen3:4b(N),40,0.317,0.41940028242739785,0.41333333333333333,0,0,0.9766666666666667,1557.255,1599,4912.4763406940065
qwen3:4b(N),50,0.333,0.42794940459993475,0.425,0,0,0.98,1879.15,1931,5643.093093093093
qwen3:4b(T),0,2.922,0.38655194739807086,0.37833333333333335,0,0,0.99,733.3633333333333,2280,250.97992242756104
qwen3:4b(T),5,2.905,0.4166507472497853,0.41,0,0,0.9983333333333333,917.38,2553,315.79345955249573
qwen3:4b(T),10,3.005,0.41790500487658633,0.4216666666666667,0,0,0.995,1083.445,2881,360.5474209650582
qwen3:4b(T),20,2.845,0.41846083945306584,0.4166666666666667,0,0,0.9966666666666667,1355.7733333333333,2864,476.54598711189215
qwen3:4b(T),30,3.098,0.42081933467268734,0.41833333333333333,0,0,0.9966666666666667,1720.8333333333333,4180,555.4658919733162
qwen3:4b(T),40,3.192,0.4343676801548457,0.43166666666666664,0,0,0.9933333333333333,2057.8516666666665,3630,644.69037176274
qwen3:4b(T),50,3.251,0.42526274378030543,0.42833333333333334,0,0,0.9983333333333333,2384.2816666666668,3933,733.3994668307188
qwen3:8b(N),0,0.413,0.35779795361716626,0.3383333333333333,0,0,0.9566666666666667,267.21,335,646.9975786924939
qwen3:8b(N),5,0.321,0.3452244293314255,0.3416666666666667,0,0,0.9633333333333334,438.5,478,1366.0436137071652
qwen3:8b(N),10,0.319,0.3814750522449855,0.38,0,0,0.9666666666666667,588.03,629,1843.3542319749215
qwen3:8b(N),20,0.323,0.3855114530033976,0.38,0,0,0.9716666666666667,894.4983333333333,928,2769.344685242518
qwen3:8b(N),30,0.329,0.3869399385819073,0.38666666666666666,0,0,0.9666666666666667,1221.6316666666667,1263,3713.1661600810535
qwen3:8b(N),40,0.333,0.4096236492083494,0.4066666666666667,0,0,0.9733333333333334,1552.9066666666668,1590,4663.383383383383
qwen3:8b(N),50,0.344,0.3898306052377973,0.3883333333333333,0,0,0.9833333333333333,1873.755,1919,5446.962209302326
qwen3:8b(T),0,3.154,0.3839196851145492,0.37,0,0,1.0,686.3966666666666,1962,217.6273515113084
qwen3:8b(T),5,3.254,0.41530836132673943,0.4033333333333333,0,0,1.0,885.88,2161,272.2433927473878
qwen3:8b(T),10,3.156,0.408234746928928,0.405,0,0,1.0,1018.4866666666667,2588,322.71440642163077
qwen3:8b(T),20,3.172,0.43862321655564895,0.43166666666666664,0,0,1.0,1322.5033333333333,3004,416.9304329550231
qwen3:8b(T),30,3.087,0.42520489409084566,0.4166666666666667,0,0,1.0,1631.2283333333332,3268,528.4186372961883
qwen3:8b(T),40,3.298,0.44026926195721683,0.435,0,0,0.9983333333333333,1985.42,3907,602.0072771376592
qwen3:8b(T),50,3.427,0.42768317950986473,0.42333333333333334,0,0,1.0,2321.17,3913,677.3183542456959
qwen3:14b(N),0,0.609,0.3613459990891756,0.35333333333333333,0,0,0.9633333333333334,267.5783333333333,309,439.3732895457033
qwen3:14b(N),5,0.44,0.3785481658638035,0.37,0,0,0.9533333333333334,437.43833333333333,509,994.1780303030303
qwen3:14b(N),10,0.415,0.40086021681896195,0.385,0,0,0.94,584.8366666666667,659,1409.2449799196788
qwen3:14b(N),20,0.434,0.40177183663578125,0.38666666666666666,0,0,0.96,892.235,940,2055.8410138248846
qwen3:14b(N),30,0.351,0.38615935747248264,0.38,0,0,0.9566666666666667,1210.4883333333332,1317,3448.684710351377
qwen3:14b(N),40,0.348,0.40321750891621067,0.39166666666666666,0,0,0.9633333333333334,1540.9383333333333,1620,4427.983716475096
qwen3:14b(N),50,0.336,0.39218366111579245,0.385,0,0,0.9666666666666667,1860.405,1969,5536.919642857142
qwen3:14b(T),0,4.86,0.4262091711387323,0.41833333333333333,0,0,0.9966666666666667,694.81,2110,142.96502057613168
qwen3:14b(T),5,5.169,0.4461613912391033,0.44,0,0,0.995,905.8416666666667,2851,175.24505062229963
qwen3:14b(T),10,5.093,0.43050108794828,0.4166666666666667,0,0,0.9933333333333333,1045.4683333333332,2815,205.27554159303617
qwen3:14b(T),20,5.146,0.4615896623774741,0.45166666666666666,0,0,0.9983333333333333,1351.045,3094,262.54275165176836
qwen3:14b(T),30,5.266,0.4421422602259642,0.435,0,0,0.9966666666666667,1683.875,3593,319.76357766805927
qwen3:14b(T),40,5.506,0.46951815485223086,0.465,0,0,0.9966666666666667,2038.7583333333334,4247,370.27939217822984
qwen3:14b(T),50,5.279,0.455039098086309,0.4483333333333333,0,0,0.995,2333.455,3944,442.02595188482667
qwen3:32b(N),0,1.331,0.347358796600406,0.335,0,0,0.9483333333333334,275.9116666666667,330,207.29651890808918
qwen3:32b(N),5,0.849,0.3961236635876648,0.3883333333333333,0,0,0.955,438.18333333333334,496,516.1170003926188
qwen3:32b(N),10,0.667,0.3936125835368848,0.38666666666666666,0,0,0.9583333333333334,578.7133333333334,645,867.6361819090455
qwen3:32b(N),20,0.578,0.3892136231698509,0.37666666666666665,0,0,0.9616666666666667,880.0616666666666,941,1522.5980392156862
qwen3:32b(N),30,0.612,0.38046700497187125,0.37166666666666665,0,0,0.9716666666666667,1208.4666666666667,1259,1974.6187363834424
qwen3:32b(N),40,0.559,0.39778894197177733,0.395,0,0,0.9716666666666667,1536.6566666666668,1601,2748.9385807990457
qwen3:32b(N),50,0.573,0.38779506393456536,0.3883333333333333,0,0,0.98,1858.11,1924,3242.7748691099478
qwen3:32b(T),0,8.262,0.41610768733094117,0.4,0,0,0.9883333333333333,613.1733333333333,2025,74.21608972807229
qwen3:32b(T),5,7.796,0.45085184654981797,0.44166666666666665,0,0,0.9916666666666667,775.9983333333333,3730,99.53801094578417
qwen3:32b(T),10,8.053,0.4500884798107192,0.44333333333333336,0,0,0.9933333333333333,936.2916666666666,2419,116.26619479283082
qwen3:32b(T),20,7.996,0.4485974632680389,0.445,0,0,0.995,1234.825,2658,154.43034017008503
qwen3:32b(T),30,8.729,0.44143186878774043,0.43666666666666665,0,0,0.9966666666666667,1593.3133333333333,4030,182.53102684538132
qwen3:32b(T),40,8.72,0.4422513969407049,0.43833333333333335,0,0,0.995,1919.5433333333333,5100,220.13111620795104
qwen3:32b(T),50,9.319,0.45933780609926106,0.45166666666666666,0,0,0.995,2264.6133333333332,4312,243.0103373037164
