model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
qwen3:4b(N),0,0.569,0.9701079216010317,0.9701149425287356,0,0,1.0,436.1908045977012,1383,766.5919237217947
qwen3:4b(N),5,0.545,0.9793312789715238,0.9793103448275862,0,0,1.0,2637.7034482758622,3597,4839.822840873141
qwen3:4b(N),10,0.603,0.9816172364272158,0.9816091954022989,0,0,1.0,5247.935632183908,6191,8703.044166142468
qwen3:4b(N),20,0.688,0.980447456687334,0.9793103448275862,0,0,0.9977011494252873,9535.457471264368,10473,13859.676557070303
qwen3:4b(N),30,0.721,0.9793149802745177,0.9793103448275862,0,0,1.0,12141.186206896551,13064,16839.370605959157
qwen3:4b(N),40,0.764,0.9793149802745177,0.9793103448275862,0,0,1.0,14169.409195402299,15100,18546.347114400913
qwen3:4b(N),50,1.439,0.9266306291141119,0.871264367816092,0,0,0.8804597701149426,16391.554022988505,18166,11390.93399790723
qwen3:4b(T),0,2.428,0.9747183092244107,0.9747126436781609,0,0,1.0,714.7540229885058,1708,294.37974587664985
qwen3:4b(T),5,2.623,0.9770305999027082,0.9770114942528736,0,0,1.0,2936.135632183908,4036,1119.380721381589
qwen3:4b(T),10,2.559,0.98391833796626,0.9839080459770115,0,0,1.0,5551.319540229885,6601,2169.3315905548593
qwen3:4b(T),20,2.732,0.9793149802745177,0.9793103448275862,0,0,1.0,9819.87816091954,10981,3594.3917133673276
qwen3:4b(T),30,2.93,0.9770305999027082,0.9770114942528736,0,0,1.0,12431.179310344827,13540,4242.723314110863
qwen3:4b(T),40,3.032,0.98391833796626,0.9839080459770115,0,0,1.0,14449.880459770115,15435,4765.791708367452
qwen3:4b(T),50,5.164,0.9179729747599709,0.8620689655172413,0,0,0.8781609195402299,16693.67816091954,19131,3232.702974616487
qwen3:8b(N),0,0.976,0.9815907078329766,0.9816091954022989,0,0,1.0,427.72183908045974,1387,438.2395892217825
qwen3:8b(N),5,0.842,0.9862129273204119,0.9862068965517241,0,0,1.0,2625.8275862068967,3561,3118.560078630519
qwen3:8b(N),10,1.055,0.9781450936573296,0.9770114942528736,0,0,0.9977011494252873,5234.9885057471265,6162,4962.074413030452
qwen3:8b(N),20,0.927,0.983911651324625,0.9839080459770115,0,0,1.0,9524.0091954023,10486,10274.012077025134
qwen3:8b(N),30,0.875,0.9793149802745177,0.9793103448275862,0,0,1.0,12133.151724137932,13075,13866.459113300492
qwen3:8b(N),40,0.934,0.9850406033880335,0.9839080459770115,0,0,0.9977011494252873,14162.719540229886,15108,15163.511285042703
qwen3:8b(N),50,1.847,0.9190933567824466,0.8620689655172413,0,0,0.8758620689655172,16388.76091954023,18066,8873.17862454804
qwen3:8b(T),0,2.468,0.9769883847912206,0.9770114942528736,0,0,1.0,715.3080459770115,1773,289.8330818383353
qwen3:8b(T),5,2.813,0.980443299609298,0.9793103448275862,0,0,0.9977011494252873,2948.094252873563,4054,1048.024974359603
qwen3:8b(T),10,3.117,0.9734833635813671,0.9701149425287356,0,0,0.993103448275862,5566.627586206897,6921,1785.8927129313113
qwen3:8b(T),20,3.41,0.9815232817028019,0.9770114942528736,0,0,0.9908045977011495,9842.737931034482,11889,2886.4334108605517
qwen3:8b(T),30,3.534,0.9781389470765931,0.9770114942528736,0,0,0.9977011494252873,12440.864367816092,13436,3520.335135205459
qwen3:8b(T),40,3.744,0.9815609507313141,0.9793103448275862,0,0,0.9954022988505747,14471.07816091954,15528,3865.138397681501
qwen3:8b(T),50,6.224,0.9217387053133896,0.8666666666666667,0,0,0.8804597701149426,16699.972413793104,18297,2683.1575214963214
qwen3:14b(N),0,0.917,0.9654073016629214,0.9655172413793104,0,0,1.0,427.75402298850577,1353,466.4711264869201
qwen3:14b(N),5,0.886,0.979295085420429,0.9793103448275862,0,0,1.0,2633.1793103448276,3564,2971.985677590099
qwen3:14b(N),10,0.965,0.9792715638431956,0.9793103448275862,0,0,1.0,5243.958620689656,6177,5434.154011077363
qwen3:14b(N),20,1.102,0.9838961775492225,0.9839080459770115,0,0,1.0,9532.533333333333,10453,8650.211736237143
qwen3:14b(N),30,1.218,0.9815907078329766,0.9816091954022989,0,0,1.0,12144.296551724137,13081,9970.686824075647
qwen3:14b(N),40,1.286,0.9793054841853296,0.9793103448275862,0,0,1.0,14172.422988505747,15125,11020.546647360612
qwen3:14b(N),50,2.792,0.9217387053133896,0.8666666666666667,0,0,0.8804597701149426,16412.0,18120,5878.223495702006
qwen3:14b(T),0,3.602,0.9816003536693191,0.9816091954022989,0,0,1.0,698.0413793103448,1944,193.79272051925176
qwen3:14b(T),5,3.819,0.9793235773851916,0.9793103448275862,0,0,1.0,2908.404597701149,4038,761.5618218646633
qwen3:14b(T),10,4.259,0.9862002652519894,0.9862068965517241,0,0,1.0,5532.910344827586,6575,1299.1102007108677
qwen3:14b(T),20,4.817,0.986218359941625,0.9862068965517241,0,0,1.0,9824.59540229885,10926,2039.5672414986193
qwen3:14b(T),30,5.036,0.9885083223747321,0.9885057471264368,0,0,1.0,12427.91264367816,13543,2467.814266020286
qwen3:14b(T),40,5.409,0.9885130985473286,0.9885057471264368,0,0,1.0,14464.650574712643,15617,2674.1820252750313
qwen3:14b(T),50,9.55,0.9243710003405377,0.871264367816092,0,0,0.8850574712643678,16702.457471264366,18605,1748.9484263104048
qwen3:32b(N),0,1.993,0.9816003536693191,0.9816091954022989,0,0,1.0,435.7103448275862,1370,218.62034361645067
qwen3:32b(N),5,1.845,0.9839042654774787,0.9839080459770115,0,0,1.0,2636.5310344827585,3569,1429.0141108307635
qwen3:32b(N),10,1.964,0.9770004420866489,0.9770114942528736,0,0,1.0,5245.675862068965,6169,2670.9143900554814
qwen3:32b(N),20,3.78,0.9884972696780161,0.9885057471264368,0,0,1.0,9537.632183908046,10460,2523.1831174359913
qwen3:32b(N),30,2.944,0.9793054841853296,0.9793103448275862,0,0,1.0,12146.427586206897,13093,4125.824587706147
qwen3:32b(N),40,2.975,0.9793054841853296,0.9793103448275862,0,0,1.0,14174.085057471264,15113,4764.398338645803
qwen3:32b(N),50,6.693,0.9241702810280628,0.8689655172413793,0,0,0.8804597701149426,16417.068965517243,18402,2452.8715023931336
qwen3:32b(T),0,7.755,0.9862068965517241,0.9862068965517241,0,0,1.0,716.5793103448276,1663,92.40223215278242
qwen3:32b(T),5,8.226,0.9862129273204119,0.9862068965517241,0,0,1.0,2925.7816091954023,3951,355.6748856303674
qwen3:32b(T),10,9.168,0.986218359941625,0.9862068965517241,0,0,1.0,5548.777011494253,6521,605.2330946219736
qwen3:32b(T),20,10.643,0.9862068965517241,0.9862068965517241,0,0,1.0,9848.731034482758,11048,925.3717029486759
qwen3:32b(T),30,13.707,0.9839042654774787,0.9839080459770115,0,0,1.0,12456.337931034483,13483,908.7574181830074
qwen3:32b(T),40,17.336,0.9885083223747321,0.9885057471264368,0,0,1.0,14473.641379310346,15427,834.889327371386
qwen3:32b(T),50,22.048,0.925518736566676,0.871264367816092,0,0,0.8827586206896552,16746.066666666666,18699,759.5276971456217
