model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
llama3.1:8b,0,0.878,0.2791734360459518,0.2733333333333333,0.08493933436228422,0.2733333333333333,0.8683333333333334,282.3883333333333,371,321.62680334092636
llama3.1:8b,10,0.46,0.31454310740953184,0.315,0.10030534896732721,0.315,0.91,592.87,685,1288.8478260869565
llama3.1:8b,20,0.423,0.3128524195188481,0.305,0.12998680735856566,0.305,0.9183333333333333,895.72,1272,2117.5413711583924
llama3.1:8b,30,0.399,0.32373372864795297,0.32,0.14517760963429605,0.32,0.9316666666666666,1221.165,1351,3060.5639097744356
llama3.1:8b,40,0.402,0.3338762957144804,0.32166666666666666,0.12806777653330592,0.32166666666666666,0.905,1553.415,1714,3864.2164179104475
llama3.1:8b,50,0.377,0.32611693152584137,0.32,0.12170214145154389,0.32,0.94,1872.2116666666666,2055,4966.078691423519
llama3.1:8b,5,0.497,0.33043426448854957,0.33,0.1116632426145846,0.33,0.9083333333333333,445.525,527,896.4285714285713
deepseek-r1:8b,0,7.123,0.21002490705260232,0.17833333333333334,0.02534825725965116,0.17833333333333334,0.665,1086.32,6161,152.508774392812
deepseek-r1:8b,50,4.613,0.3223885888390465,0.32166666666666666,0.23389492416619512,0.32166666666666666,0.9916666666666667,2394.085,6614,518.9865597225232
deepseek-r1:8b,40,4.403,0.29732652087225164,0.295,0.17701574053127686,0.295,0.98,2050.87,5808,465.78923461276406
deepseek-r1:8b,30,4.188,0.31142484661865955,0.30666666666666664,0.20133325591320203,0.30666666666666664,0.9816666666666667,1699.93,5270,405.90496657115574
deepseek-r1:8b,20,4.383,0.30411530176184326,0.29833333333333334,0.16134849355685302,0.29833333333333334,0.97,1401.475,5276,319.7524526579968
deepseek-r1:8b,10,4.348,0.2776907647634391,0.2733333333333333,0.16655877573240452,0.2733333333333333,0.9733333333333334,1098.0566666666666,5198,252.5429316160687
deepseek-r1:8b,5,4.248,0.2992554355636087,0.2966666666666667,0.16028516044418045,0.2966666666666667,0.9716666666666667,936.9383333333334,5302,220.55987131198995
qwen2.5:14b,30,0.911,0.3845341622683983,0.37833333333333335,0.18610434213694374,0.37833333333333335,0.9616666666666667,1213.155,1372,1331.673984632272
qwen2.5:14b,10,0.984,0.37252313353552635,0.355,0.18044005602498,0.355,0.94,585.6366666666667,772,595.1592140921409
