Model,Class,Precision,Recall,F1 Score
deepseek-r1,Strongly Positive,0.9754601226993865,0.9380530973451328,0.9563909774436091
deepseek-r1,Positive,0.8448275862068966,0.8828828828828829,0.8634361233480176
deepseek-r1,Neutral,0.625,0.8333333333333334,0.7142857142857143
deepseek-r1,Negative,0.7037037037037037,0.6551724137931034,0.6785714285714286
deepseek-r1,Strongly Negative,0.8787878787878788,0.9666666666666667,0.9206349206349207
gpt-4o,Strongly Positive,1.0,0.8761061946902655,0.9339622641509434
gpt-4o,Positive,0.7089552238805971,0.8558558558558559,0.7755102040816327
gpt-4o,Neutral,0.3055555555555556,0.9166666666666666,0.4583333333333333
gpt-4o,Negative,0.696969696969697,0.7931034482758621,0.7419354838709677
gpt-4o,Strongly Negative,1.0,0.85,0.9189189189189189
