model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
deepseek-v3,0,6.808,0.9597522509243642,0.956442831215971,0.815790865718089,0.8039927404718693,1.0,177.6225045372051,1160,26.090262123561264
deepseek-v3,5,6.553,0.9582547501759323,0.9473684210526315,0.8214534818748215,0.8021778584392014,1.0,774.6497277676951,1757,118.21299065583628
deepseek-v3,10,6.692,0.9628711187948855,0.956442831215971,0.8399175843253789,0.8257713248638838,1.0,1066.633393829401,2048,159.38932962184714
deepseek-v3,20,7.12,0.9609020650251088,0.956442831215971,0.8495450642335491,0.838475499092559,1.0,1702.6261343012704,2685,239.1328840310773
deepseek-v3,30,7.383,0.9696518446491756,0.9655172413793104,0.8524384141133767,0.8421052631578947,1.0,2277.6297640653356,3259,308.49651416298735
deepseek-v3,40,7.204,0.9666109287924295,0.9655172413793104,0.8663088752100276,0.8584392014519057,1.0,2913.6152450090744,3895,404.4440928663346
deepseek-v3,50,7.193,0.9674852845605582,0.9655172413793104,0.8564251378545424,0.8475499092558983,1.0,3639.61887477314,4621,505.99456065245937
deepseek-r1,0,7.829,0.9530599579834707,0.9509981851179673,0.7831349842292119,0.7676950998185118,1.0,177.6170598911071,1160,22.687068577226604
deepseek-r1,5,7.531,0.9542960851001183,0.9509981851179673,0.823263279692024,0.8112522686025408,1.0,774.6206896551724,1756,102.85761381691309
deepseek-r1,10,7.947,0.95215636076938,0.9437386569872959,0.8125600107501816,0.7967332123411979,1.0,1066.6406533575318,2048,134.21928442903382
deepseek-r1,20,10.511,0.9623677078528029,0.9582577132486388,0.8470465482145545,0.8439201451905626,1.0,1702.6279491833031,2684,161.98534384771224
deepseek-r1,30,10.097,0.9775779387329525,0.9764065335753176,0.9138766720201609,0.9128856624319419,1.0,2277.61887477314,3259,225.5738214096405
deepseek-r1,40,8.594,0.9609922188294606,0.9582577132486388,0.8687457738875277,0.8656987295825771,1.0,2913.6225045372053,3895,339.0298469324186
deepseek-r1,50,26.773,0.962719413574893,0.9600725952813067,0.8334882830727919,0.8257713248638838,0.9945553539019963,3639.6152450090744,4621,135.9434969935784
gpt-4o-mini,0,1.724,0.9305765196376228,0.9092558983666061,0.7474819454079517,0.7186932849364791,1.0,208.76043557168785,1179,121.09073989077022
gpt-4o-mini,5,1.346,0.9517121206556355,0.9346642468239564,0.7415451200991006,0.7114337568058077,1.0,789.7604355716878,1760,586.746237423245
gpt-4o-mini,10,1.384,0.9525071940237175,0.9382940108892922,0.7924595352028795,0.7695099818511797,1.0,1073.7604355716878,2044,775.838465008445
gpt-4o-mini,20,1.619,0.9567126051124601,0.9437386569872959,0.825039111490374,0.8076225045372051,1.0,1693.7604355716878,2664,1046.1769212919628
gpt-4o-mini,30,1.691,0.9516005634147278,0.9364791288566243,0.8237387638092106,0.8058076225045372,1.0,2247.760435571688,3218,1329.2492226917138
gpt-4o-mini,40,1.721,0.9542395048918179,0.9401088929219601,0.8156989656026686,0.7967332123411979,1.0,2867.760435571688,3838,1666.3337801113817
gpt-4o-mini,50,1.683,0.9568254797427815,0.9437386569872959,0.8301802025762246,0.8130671506352087,1.0,3574.760435571688,4545,2124.040662847111
gpt-4o,0,1.7,0.9489079831771159,0.9346642468239564,0.743233416161805,0.7132486388384754,1.0,208.76043557168785,1179,122.80025621863992
gpt-4o,5,1.605,0.9482479758309836,0.9292196007259528,0.723898256570811,0.6878402903811253,1.0,789.7604355716878,1760,492.06257668017935
gpt-4o,10,1.699,0.9481653396021165,0.9292196007259528,0.7372844367453645,0.7023593466424682,1.0,1073.7604355716878,2044,631.9955477172971
gpt-4o,20,2.131,0.953046466346544,0.9382940108892922,0.8042736024822359,0.7803992740471869,1.0,1693.7604355716878,2664,794.8195380439644
gpt-4o,30,2.566,0.952476541405761,0.9364791288566243,0.8175675456105107,0.79491833030853,1.0,2247.760435571688,3218,875.9783458969946
gpt-4o,40,2.35,0.9621870442455148,0.9509981851179673,0.8799384834258153,0.8656987295825771,1.0,2867.760435571688,3838,1220.3235896049737
gpt-4o,50,4.85,0.9657255933614831,0.956442831215971,0.8310563222315634,0.8166969147005445,1.0,3574.760435571688,4545,737.0640073343687
