model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
llama3.1:8b,0,1.007,0.9321145122445483,0.9201451905626135,0.6461584294911263,0.6079854809437386,0.9963702359346642,208.7622504537205,1179,207.3110729431187
llama3.1:8b,5,0.531,0.937411419278155,0.9274047186932849,0.6361820181542523,0.5989110707803993,0.9981851179673321,916.7604355716878,1887,1726.4791630351936
llama3.1:8b,10,0.417,0.9308912623037014,0.9147005444646098,0.6839389235774614,0.6442831215970962,0.9981851179673321,1530.7604355716878,2501,3670.8883347042874
llama3.1:8b,20,0.428,0.9403703771471051,0.9237749546279492,0.7609353573440029,0.7313974591651543,0.9981851179673321,2243.760435571688,3214,5242.430924232916
llama3.1:8b,30,0.408,0.9383395306470781,0.9165154264972777,0.7516599720387906,0.7186932849364791,0.9981851179673321,2930.760435571688,3901,7183.236361695314
llama3.1:8b,40,0.451,0.9298709401050118,0.9128856624319419,0.7014949492915414,0.6642468239564429,0.9981851179673321,3511.760435571688,4482,7786.608504593543
llama3.1:8b,50,0.418,0.9342436412889146,0.9147005444646098,0.7186837880008149,0.6823956442831216,1.0,4271.760435571688,5242,10219.522573138009
deepseek-r1:8b,0,3.808,0.9134060673703475,0.8983666061705989,0.5860816023414424,0.5462794918330308,0.9600725952813067,208.75499092558982,1179,54.82011316323263
deepseek-r1:8b,5,3.773,0.8905387277575669,0.8620689655172413,0.5336950532735265,0.4827586206896552,0.985480943738657,916.7531760435571,1887,242.9772531257771
deepseek-r1:8b,10,4.049,0.8955339729035462,0.8729582577132486,0.6455651760711132,0.6007259528130672,0.9872958257713249,1530.7622504537205,2501,378.05933575048664
deepseek-r1:8b,20,3.988,0.898946642010215,0.8820326678765881,0.6325626245069329,0.5934664246823956,0.9872958257713249,2243.7622504537203,3214,562.628447957302
deepseek-r1:8b,30,4.226,0.8959010469702492,0.8711433756805808,0.6986481321203618,0.662431941923775,0.9891107078039928,2930.75499092559,3901,693.505676981919
deepseek-r1:8b,40,4.417,0.8767011903292323,0.8475499092558983,0.6608608404197421,0.6188747731397459,0.985480943738657,3511.7568058076226,4482,795.0547443530955
deepseek-r1:8b,50,4.52,0.8835780561970258,0.8602540834845736,0.6921890970126342,0.6588021778584392,0.9818511796733213,4271.76225045372,5242,945.0801439056904
qwen2.5:14b,0,1.466,0.9268086977269004,0.9038112522686026,0.7428455921739006,0.705989110707804,0.9909255898366606,189.67876588021778,1244,129.38524275594665
qwen2.5:14b,5,1.21,0.9498906988118216,0.941923774954628,0.7538908548247945,0.7295825771324864,1.0,920.6787658802178,1975,760.8915420497668
qwen2.5:14b,10,1.149,0.9541664403820285,0.9473684210526315,0.7761132980100612,0.7549909255898367,1.0,1543.6787658802177,2598,1343.4976204353504
qwen2.5:14b,20,1.108,0.9548352570333469,0.9473684210526315,0.8286001440291013,0.8148820326678766,1.0,2262.6787658802177,3317,2042.1288500723986
qwen2.5:14b,30,1.055,0.9528861050137308,0.9437386569872959,0.8579485125841139,0.8493647912885662,1.0,2955.6787658802177,4010,2801.5912472798273
qwen2.5:14b,40,1.15,0.9501800215706518,0.9382940108892922,0.8371456665941406,0.8257713248638838,1.0,3542.6787658802177,4597,3080.5902312001895
qwen2.5:14b,50,1.158,0.9505854707935814,0.941923774954628,0.8465646573425077,0.8457350272232305,1.0,4313.678765880218,5368,3725.111196787753
deepseek-r1:14b,0,8.535,0.9163432546928565,0.911070780399274,0.6258793674485912,0.5898366606170599,0.9963702359346642,189.67876588021778,1244,22.2236398219353
deepseek-r1:14b,5,6.587,0.8991415352833743,0.8656987295825771,0.6289128627114562,0.5771324863883848,1.0,920.6787658802178,1975,139.7720913739514
deepseek-r1:14b,10,6.723,0.9233497899559605,0.9038112522686026,0.6754150737315501,0.631578947368421,0.9963702359346642,1543.6751361161525,2598,229.6110569858921
deepseek-r1:14b,20,6.81,0.9337780342249334,0.9292196007259528,0.7305333521221069,0.7041742286751361,1.0,2262.6787658802177,3317,332.2582622437912
deepseek-r1:14b,30,7.211,0.9247075231473507,0.9147005444646098,0.7506051027024341,0.7223230490018149,0.9981851179673321,2955.676950998185,4010,409.8844752459
deepseek-r1:14b,40,7.052,0.9341346990527806,0.9274047186932849,0.7452231313434456,0.7223230490018149,1.0,3542.6787658802177,4597,502.36511144075695
deepseek-r1:14b,50,7.312,0.93863810405433,0.9310344827586207,0.7719916184250813,0.7513611615245009,0.9963702359346642,4313.684210526316,5368,589.9458712426581
