model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
granite3.3:2b(N),0,0.747,0.32176965720432943,0.31833333333333336,0,0,0.9083333333333333,286.07666666666665,1636,382.96742525658186
granite3.3:2b(N),5,0.556,0.3134331872908501,0.30333333333333334,0,0,0.905,457.3666666666667,546,822.6019184652278
granite3.3:2b(N),10,0.606,0.313825720608187,0.30833333333333335,0,0,0.8966666666666667,610.62,1730,1007.6237623762377
granite3.3:2b(N),20,0.5,0.29533708594858527,0.295,0,0,0.895,907.8116666666666,1016,1815.6233333333332
granite3.3:2b(N),30,0.514,0.29348605978843373,0.295,0,0,0.89,1235.3083333333334,1322,2403.3236057068743
granite3.3:2b(N),40,0.512,0.301881798276652,0.305,0,0,0.9183333333333333,1565.3366666666666,1694,3057.298177083333
granite3.3:2b(N),50,0.408,0.3071544418118085,0.30666666666666664,0,0,0.89,1878.9816666666666,1978,4605.347222222223
granite3.3:2b(T),0,3.953,0.26119559323669683,0.24833333333333332,0,0,0.8066666666666666,516.705,2260,130.7121173792057
granite3.3:2b(T),5,3.772,0.28617191864798047,0.2783333333333333,0,0,0.9166666666666666,693.3833333333333,1324,183.82378932484977
granite3.3:2b(T),10,3.783,0.2455390863597709,0.24833333333333332,0,0,0.9133333333333333,843.0766666666667,4568,222.85928275619
granite3.3:2b(T),20,4.467,0.27542333094154275,0.27666666666666667,0,0,0.91,1193.355,5549,267.14909335124247
granite3.3:2b(T),30,4.581,0.2716228366175578,0.26666666666666666,0,0,0.85,1524.7833333333333,8997,332.8494506294113
granite3.3:2b(T),40,6.479,0.254158901616035,0.21666666666666667,0,0,0.675,1986.1483333333333,9165,306.5516797859752
granite3.3:2b(T),50,7.18,0.002685185185185185,0.0016666666666666668,0,0,0.08999999999999997,2332.5466666666666,9748,324.86722376973074
granite3.3:8b(N),0,1.061,0.2888085009009929,0.26,0,0,0.765,288.57,377,271.97926484448635
granite3.3:8b(N),5,0.92,0.340249934897072,0.33666666666666667,0,0,0.935,465.53333333333336,1978,506.0144927536232
granite3.3:8b(N),10,0.952,0.37265903247158777,0.36833333333333335,0,0,0.94,616.4133333333333,2148,647.4929971988795
granite3.3:8b(N),20,0.951,0.3322320185171155,0.32,0,0,0.945,920.935,1990,968.3859095688748
granite3.3:8b(N),30,0.866,0.3529806613453029,0.3466666666666667,0,0,0.9516666666666667,1241.5733333333333,2255,1433.6874518860661
granite3.3:8b(N),40,1.042,0.3547042205897145,0.35333333333333333,0,0,0.94,1575.9116666666666,1907,1512.3912348048623
granite3.3:8b(N),50,1.036,0.3432039321844336,0.345,0,0,0.9783333333333333,1895.3616666666667,2727,1829.4996782496783
granite3.3:8b(T),0,5.783,0.31640595811345446,0.275,0,0,0.7416666666666667,529.2983333333333,997,91.52660095682747
granite3.3:8b(T),5,5.382,0.3734950290906814,0.36,0,0,0.9483333333333334,684.9266666666666,2114,127.26247987117553
granite3.3:8b(T),10,6.037,0.3333210045440081,0.32,0,0,0.9233333333333333,879.8733333333333,2499,145.74678372259953
granite3.3:8b(T),20,7.401,0.3497062775436546,0.3433333333333333,0,0,0.9516666666666667,1175.1483333333333,8799,158.7823717515651
granite3.3:8b(T),30,6.99,0.36191047333130677,0.355,0,0,0.9533333333333334,1476.9366666666667,3363,211.29279923700526
granite3.3:8b(T),40,4.531,0.37096549551132124,0.3566666666666667,0,0,0.94,1820.4616666666666,4305,401.7792246008975
granite3.3:8b(T),50,2.312,0.3942836800567499,0.37666666666666665,0,0,0.9383333333333334,2121.9216666666666,4061,917.7861880046137
magistral:24b(N),0,1.705,0.21982351681966927,0.175,0,0,0.5783333333333334,317.35333333333335,1658,186.1309872922776
magistral:24b(N),5,1.166,0.318520622301446,0.305,0,0,0.9166666666666666,470.7033333333333,1516,403.6906803887936
magistral:24b(N),10,1.111,0.340827106054611,0.3233333333333333,0,0,0.9133333333333333,623.8716666666667,1763,561.5406540654066
magistral:24b(N),20,1.065,0.29421547440307505,0.2916666666666667,0,0,0.9333333333333333,925.3683333333333,1694,868.8904538341159
magistral:24b(N),30,1.068,0.33693404256355575,0.325,0,0,0.9483333333333334,1253.4933333333333,2648,1173.6828963795256
magistral:24b(N),40,1.211,0.33961687451034145,0.33166666666666667,0,0,0.9366666666666666,1587.695,2744,1311.0611065235341
magistral:24b(N),50,1.259,0.34983705054575176,0.335,0,0,0.9466666666666667,1914.775,4515,1520.8697378872123
magistral:24b(T),0,43.85,0.3797696388372874,0.36833333333333335,0,0,0.9583333333333334,3200.3,8700,72.98289623717218
magistral:24b(T),5,43.662,0.42135118877904165,0.4166666666666667,0,0,0.9966666666666667,3401.285,7482,77.90034812880766
magistral:24b(T),10,62.139,0.42307235102331603,0.4166666666666667,0,0,0.995,3332.9466666666667,9369,53.63695371130315
magistral:24b(T),20,68.214,0.4127125797584615,0.4116666666666667,0,0,0.9933333333333333,3703.1666666666665,8778,54.287487417050265
magistral:24b(T),30,68.543,0.43734855668857886,0.43333333333333335,0,0,0.995,3926.515,9938,57.285426666472134
magistral:24b(T),40,70.942,0.4159677158275667,0.41333333333333333,0,0,0.9966666666666667,4270.633333333333,8392,60.198941858607505
magistral:24b(T),50,68.172,0.4171234193341626,0.41,0,0,0.99,4570.441666666667,9306,67.04279860744391
