model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
granite3.3:2b(N),0,1.478,0.9534092372581218,0.9425287356321839,0,0,0.9770114942528736,471.0045977011494,1417,318.6769943850808
granite3.3:2b(N),5,4.353,0.6228975487569639,0.46436781609195404,0,0,0.4896551724137931,2837.2390804597703,10708,651.7893591683369
granite3.3:2b(N),10,7.155,0.6591410609429665,0.5011494252873563,0,0,0.5195402298850575,5582.089655172414,13141,780.1662690667245
granite3.3:2b(N),20,10.516,0.667759854492518,0.5080459770114942,0,0,0.5195402298850575,10053.119540229885,17611,955.9832198773189
granite3.3:2b(N),30,5.911,0.359543055713586,0.2206896551724138,0,0,0.22758620689655173,12335.64827586207,20318,2086.897018416862
granite3.3:2b(N),40,0.985,0.0,0.0,0,0,0.0,14052.956321839081,14963,14266.960732831554
granite3.3:2b(N),50,0.674,0.0,0.0,0,0,0.0,16217.956321839081,17128,24062.24973566629
granite3.3:2b(T),0,5.578,0.9542293202173725,0.9356321839080459,0,0,0.960919540229885,753.6689655172414,8527,135.11455100703503
granite3.3:2b(T),5,5.376,0.03585848692274541,0.01839080459770115,0,0,0.025287356321839094,2841.071264367816,10605,528.4730774493705
granite3.3:2b(T),10,0.647,0.0,0.0,0,0,0.0,5166.95632183908,6077,7986.022135763648
granite3.3:2b(T),20,0.914,0.0,0.0,0,0,0.0,9433.956321839081,10344,10321.615231771424
granite3.3:2b(T),30,0.98,0.0,0.0,0,0,0.0,12030.956321839081,12941,12276.48604269294
granite3.3:2b(T),40,2.607,0.0,0.0,0,0,0.0,14052.956321839081,14963,5390.470395795581
granite3.3:2b(T),50,5.298,0.0,0.0,0,0,0.0,16217.956321839081,17128,3061.146908614398
granite3.3:8b(N),0,2.232,0.9664736107398497,0.960919540229885,0,0,0.9885057471264368,471.42988505747127,1429,211.21410620854445
granite3.3:8b(N),5,2.5,0.9769408895208752,0.9747126436781609,0,0,0.9954022988505747,2642.8344827586207,3638,1057.1337931034482
granite3.3:8b(N),10,2.373,0.9792133469130414,0.9747126436781609,0,0,0.9908045977011495,5232.250574712643,6215,2204.9096395754923
granite3.3:8b(N),20,1.865,0.9815782742396927,0.9793103448275862,0,0,0.9954022988505747,9476.770114942528,10540,5081.378077717173
granite3.3:8b(N),30,1.944,0.9826579180045605,0.9770114942528736,0,0,0.9885057471264368,12074.013793103448,13180,6210.912445012062
granite3.3:8b(N),40,3.548,0.9372117399567783,0.8919540229885058,0,0,0.903448275862069,14131.40459770115,15480,3982.921250761316
granite3.3:8b(N),50,5.047,0.0,0.0,0,0,0.0,16427.645977011493,17656,3254.9328268300956
granite3.3:8b(T),0,7.13,0.957097223063703,0.9517241379310345,0,0,0.9885057471264368,703.1310344827587,1745,98.61585336364077
granite3.3:8b(T),5,10.051,0.960477259146822,0.9517241379310345,0,0,0.9816091954022989,2919.1310344827584,9930,290.4319007544282
granite3.3:8b(T),10,40.43,0.752270677047633,0.7264367816091954,0,0,0.9333333333333333,6574.4689655172415,12368,162.61362764079252
granite3.3:8b(T),20,72.748,0.5917641851879067,0.535632183908046,0,0,0.7816091954022988,11787.268965517242,17069,162.0287700763903
granite3.3:8b(T),30,63.36,0.5728153505372596,0.5172413793103449,0,0,0.7862068965517242,14024.441379310345,19333,221.3453500522466
granite3.3:8b(T),40,39.004,0.5844629409433214,0.4367816091954023,0,0,0.49425287356321834,15101.9908045977,21771,387.19082157208754
granite3.3:8b(T),50,19.655,0.6953958013190388,0.5448275862068965,0,0,0.5655172413793104,16637.475862068964,22870,846.4754953990823
magistral:24b(N),0,1.357,0.9475125954083324,0.9356321839080459,0,0,0.9747126436781609,452.92873563218393,1382,333.7720970023463
magistral:24b(N),5,1.354,0.9734789931024117,0.9701149425287356,0,0,0.993103448275862,2636.689655172414,3555,1947.3335710283707
magistral:24b(N),10,1.384,0.9605651340996167,0.9540229885057471,0,0,0.9862068965517241,5234.075862068966,6225,3781.846721148097
magistral:24b(N),20,1.714,0.9735308816180146,0.9724137931034482,0,0,0.9977011494252873,9513.07816091954,13066,5550.2206306415055
magistral:24b(N),30,1.975,0.958493058669478,0.9563218390804598,0,0,0.9954022988505747,12101.611494252873,16657,6127.398224938163
magistral:24b(N),40,2.101,0.9654370003307632,0.9632183908045977,0,0,0.9954022988505747,14115.910344827586,15689,6718.662705772292
magistral:24b(N),50,6.61,0.39575910653232066,0.25287356321839083,0,0,0.271264367816092,16457.96551724138,17847,2489.8586259064114
magistral:24b(T),0,16.582,0.9687465784993426,0.9632183908045977,0,0,0.9885057471264368,1492.8045977011495,5317,90.02560594024541
magistral:24b(T),5,20.901,0.9495139979442604,0.9494252873563218,0,0,1.0,3921.790804597701,11322,187.6365152192575
magistral:24b(T),10,24.582,0.9065047499928865,0.9057471264367816,0,0,0.9977011494252873,6706.556321839081,11776,272.82386794561387
magistral:24b(T),20,27.88,0.8904268409942542,0.8850574712643678,0,0,0.9885057471264368,11073.032183908046,15914,397.1675819192269
magistral:24b(T),30,35.294,0.7696301959884803,0.7517241379310344,0,0,0.9540229885057472,14002.257471264367,20829,396.7319507923264
magistral:24b(T),40,33.579,0.726348720486191,0.7034482758620689,0,0,0.9379310344827586,15791.124137931034,21168,470.26785008282064
magistral:24b(T),50,13.843,0.7870089151335049,0.671264367816092,0,0,0.7057471264367816,16479.997701149427,25518,1190.4932240951691
