model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
deepseek-r1:8b,0,2.961,0.9224724104048202,0.8896551724137931,0,0,0.928735632183908,758.8045977011494,2022,256.2663281665483
deepseek-r1:8b,5,3.156,0.9239766199978044,0.9080459770114944,0,0,0.9632183908045976,2356.1011494252875,3495,746.5466252931836
deepseek-r1:8b,10,3.208,0.957129772870734,0.9517241379310344,0,0,0.9885057471264368,3539.774712643678,5338,1103.4210450884282
deepseek-r1:8b,20,3.187,0.934682717511922,0.92183908045977,0,0,0.9724137931034482,6519.23448275862,7331,2045.5709076744963
deepseek-r1:8b,30,3.266,0.90356080274259,0.896551724137931,0,0,0.9816091954022989,8992.758620689656,10104,2753.4472200519463
deepseek-r1:8b,40,3.117,0.8871754035576165,0.8666666666666667,0,0,0.9517241379310344,11665.820689655173,14252,3742.643788788955
deepseek-r1:8b,50,2.519,0.902189256678214,0.8873563218390804,0,0,0.9655172413793104,14222.425287356322,15502,5646.060058497944
deepseek-r1:14b,0,6.355,0.9582507740285968,0.9517241379310344,0,0,0.986206896551724,823.3655172413793,2030,129.56184378306517
deepseek-r1:14b,5,5.334,0.9585555721261536,0.9586206896551724,0,0,1.0,2322.8988505747125,3230,435.48909834546544
deepseek-r1:14b,10,5.048,0.9597048079461152,0.9586206896551724,0,0,0.9977011494252872,3487.006896551724,4901,690.769987431007
deepseek-r1:14b,20,5.761,0.9746939932916352,0.9747126436781608,0,0,1.0,6529.570114942529,7633,1133.4091503111488
deepseek-r1:14b,30,6.002,0.9632183908045976,0.9632183908045976,0,0,1.0,9029.103448275862,10648,1504.349125004309
deepseek-r1:14b,40,5.116,0.9710842267837446,0.967816091954023,0,0,0.993103448275862,11673.52183908046,13317,2281.767364949269
deepseek-r1:14b,50,4.425,0.972245149261928,0.9701149425287356,0,0,0.9954022988505749,14259.770114942528,15452,3222.54691863108
deepseek-r1:32b,0,10.329,0.9603764592899372,0.9471264367816092,0,0,0.9724137931034482,735.1540229885057,1728,71.17378477960168
deepseek-r1:32b,5,10.066,0.9549073986477846,0.9494252873563218,0,0,0.9885057471264368,2304.593103448276,3854,228.94825188240372
deepseek-r1:32b,10,10.267,0.9642444041137328,0.960919540229885,0,0,0.993103448275862,3499.243678160919,4656,340.82435747160025
deepseek-r1:32b,20,11.637,0.9511328163669364,0.9402298850574712,0,0,0.9770114942528736,6547.777011494253,8013,562.6688159744137
deepseek-r1:32b,30,12.025,0.9617467771811328,0.9540229885057472,0,0,0.9839080459770116,9046.002298850575,11178,752.2663034387173
deepseek-r1:32b,40,12.827,0.9710713118892752,0.9655172413793104,0,0,0.9885057471264368,11769.35632183908,12984,917.5455150728214
deepseek-r1:32b,50,14.788,0.9627085455162714,0.9494252873563218,0,0,0.9724137931034482,14445.816091954022,15736,976.8607040812836
deepseek-r1:70b,0,87.517,0.9712400097039378,0.9701149425287356,0,0,0.9977011494252872,777.0068965517241,1968,8.878353880408653
deepseek-r1:70b,5,78.861,0.9722877452402288,0.967816091954023,0,0,0.9908045977011496,2303.43908045977,3359,29.208849500510645
deepseek-r1:70b,10,80.085,0.9747183092244108,0.9747126436781608,0,0,1.0,3485.243678160919,4517,43.51930671362827
deepseek-r1:70b,20,89.656,0.980433312755387,0.9793103448275862,0,0,0.9977011494252872,6503.818390804598,8834,72.5419201258655
deepseek-r1:70b,30,97.935,0.9688929909380994,0.9655172413793104,0,0,0.993103448275862,9001.993103448276,10065,91.91803853012996
deepseek-r1:70b,40,91.378,0.97238695310743,0.9701149425287356,0,0,0.9954022988505749,11664.8,13288,127.65435881722075
deepseek-r1:70b,50,94.095,0.9734295642876236,0.967816091954023,0,0,0.9885057471264368,14285.57011494253,15614,151.8207143306502
DeepSeek-R1,0,140.287,0.7795043513806023,0.6505747126436782,0,0,0.6689655172413793,590.2344827586207,1694,4.207335553248845
DeepSeek-R1,5,47.208,0.9931018280617766,0.993103448275862,0,0,1.0,2874.9172413793103,4348,60.898941734013526
DeepSeek-R1,10,19.731,0.986212927320412,0.986206896551724,0,0,1.0,5485.273563218391,6573,278.002816036612
DeepSeek-R1,20,16.438,0.9839042654774788,0.9839080459770116,0,0,1.0,9833.694252873564,10930,598.229362019319
DeepSeek-R1,30,16.203,0.988497269678016,0.9885057471264368,0,0,1.0,12445.471264367816,13429,768.0967268016921
DeepSeek-R1,40,15.774,0.9862002652519894,0.986206896551724,0,0,1.0,14479.662068965516,15512,917.9448503211308
DeepSeek-R1,50,15.296,0.9885030467696276,0.9885057471264368,0,0,1.0,16668.622988505747,17749,1089.737381570721
GPT-4o-mini,0,15.603,0.9815907078329766,0.9816091954022989,0,0,1.0,449.616091954023,1399,28.81600281702384
GPT-4o-mini,5,2.224,0.988508322374732,0.9885057471264368,0,0,1.0,2616.3724137931035,3551,1176.4264450508558
GPT-4o-mini,10,2.145,0.988508322374732,0.9885057471264368,0,0,1.0,5216.572413793104,6165,2431.968491278836
GPT-4o-mini,20,2.237,0.988508322374732,0.9885057471264368,0,0,1.0,9485.0,10415,4240.053643272239
GPT-4o-mini,30,2.167,0.9908045977011494,0.9908045977011494,0,0,1.0,12077.926436781609,13018,5573.570113881684
GPT-4o-mini,40,2.397,0.988508322374732,0.9885057471264368,0,0,1.0,14101.154022988503,15033,5882.834385894245
GPT-4o-mini,50,2.521,0.9908045977011494,0.9908045977011494,0,0,1.0,16267.050574712644,17208,6452.618236696805
GPT-4o,0,6.931,0.9769883847912206,0.9770114942528736,0,0,1.0,467.2321839080459,1415,67.41194400635491
GPT-4o,5,3.09,0.988497269678016,0.9885057471264368,0,0,1.0,2645.593103448276,3608,856.178997879701
GPT-4o,10,2.793,0.9908001768346596,0.9908045977011494,0,0,1.0,5242.947126436781,6181,1877.1740517138492
GPT-4o,20,2.936,0.9908001768346596,0.9908045977011494,0,0,1.0,9511.719540229886,10437,3239.686491903912
GPT-4o,30,2.291,0.9885030467696276,0.9885057471264368,0,0,1.0,12106.305747126436,13052,5284.288846410492
GPT-4o,40,2.641,0.9931018280617766,0.993103448275862,0,0,1.0,14130.167816091956,15073,5350.309661526677
GPT-4o,50,2.471,0.9815802542782908,0.9816091954022989,0,0,1.0,16295.004597701149,17227,6594.498016066835
