model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
deepseek-r1,0,20.581,0.9746939932916353,0.9747126436781609,0,0,1.0,835.9379310344827,2125,40.616973472352306
deepseek-r1,5,20.144,0.9862002652519894,0.9862068965517241,0,0,1.0,3002.5149425287354,4858,149.05256863228433
deepseek-r1,10,17.249,0.9861930308747325,0.9862068965517241,0,0,1.0,5548.112643678161,6759,321.6483647561111
deepseek-r1,20,16.438,0.9839042654774787,0.9839080459770115,0,0,1.0,9833.694252873564,10930,598.229362019319
deepseek-r1,30,16.203,0.9884972696780161,0.9885057471264368,0,0,1.0,12445.471264367816,13429,768.0967268016921
deepseek-r1,40,15.774,0.9862002652519894,0.9862068965517241,0,0,1.0,14479.662068965517,15512,917.9448503211308
deepseek-r1,50,15.296,0.9885030467696275,0.9885057471264368,0,0,1.0,16668.622988505747,17749,1089.737381570721
gpt-4o-mini,0,15.603,0.9815907078329766,0.9816091954022989,0,0,1.0,449.616091954023,1399,28.81600281702384
gpt-4o-mini,5,2.224,0.9885083223747321,0.9885057471264368,0,0,1.0,2616.3724137931035,3551,1176.4264450508558
gpt-4o-mini,10,2.145,0.9885083223747321,0.9885057471264368,0,0,1.0,5216.572413793104,6165,2431.968491278836
gpt-4o-mini,20,2.237,0.9885083223747321,0.9885057471264368,0,0,1.0,9485.0,10415,4240.053643272239
gpt-4o-mini,30,2.167,0.9908045977011494,0.9908045977011494,0,0,1.0,12077.926436781609,13018,5573.570113881684
gpt-4o-mini,40,2.397,0.9885083223747321,0.9885057471264368,0,0,1.0,14101.154022988505,15033,5882.834385894245
gpt-4o-mini,50,2.521,0.9908045977011494,0.9908045977011494,0,0,1.0,16267.050574712644,17208,6452.618236696805
gpt-4o,0,6.931,0.9769883847912206,0.9770114942528736,0,0,1.0,467.23218390804595,1415,67.41194400635491
gpt-4o,5,3.09,0.9884972696780161,0.9885057471264368,0,0,1.0,2645.593103448276,3608,856.178997879701
gpt-4o,10,2.793,0.9908001768346597,0.9908045977011494,0,0,1.0,5242.947126436781,6181,1877.1740517138492
gpt-4o,20,2.936,0.9908001768346597,0.9908045977011494,0,0,1.0,9511.719540229886,10437,3239.686491903912
gpt-4o,30,2.291,0.9885030467696275,0.9885057471264368,0,0,1.0,12106.305747126436,13052,5284.288846410492
gpt-4o,40,2.641,0.9931018280617766,0.993103448275862,0,0,1.0,14130.167816091955,15073,5350.309661526677
gpt-4o,50,2.471,0.9815802542782907,0.9816091954022989,0,0,1.0,16295.004597701149,17227,6594.498016066835
