model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
deepseek-r1:8b,0,2.936,0.8923015094094569,0.8528735632183908,0,0,0.9103448275862069,759.303448275862,2018,258.61834069341353
deepseek-r1:8b,5,3.111,0.9288760961671847,0.9195402298850575,0,0,0.9793103448275862,2351.822988505747,3522,755.9701023805037
deepseek-r1:8b,10,3.237,0.9417846339987901,0.9310344827586207,0,0,0.9770114942528736,3545.016091954023,4807,1095.1548013450797
deepseek-r1:8b,20,3.013,0.8875036480402025,0.8689655172413793,0,0,0.9563218390804598,6500.547126436782,7740,2157.4998760161902
deepseek-r1:8b,30,6.291,0.0,0.0,0,0,0.0,9491.259770114943,11509,1508.7044619480118
deepseek-r1:8b,40,6.313,0.0,0.0,0,0,0.0,12210.19540229885,14282,1934.135181735918
deepseek-r1:8b,50,6.506,0.0,0.0,0,0,0.0,14869.83448275862,16834,2285.557098487338
deepseek-r1:14b,0,6.196,0.9455762720939279,0.9402298850574713,0,0,0.9885057471264368,813.2597701149425,1856,131.25561170350912
deepseek-r1:14b,5,5.158,0.9665740274518856,0.9655172413793104,0,0,0.9977011494252873,2311.3172413793104,3925,448.10338142289845
deepseek-r1:14b,10,5.24,0.9585136436110948,0.9563218390804598,0,0,0.9954022988505747,3501.9517241379313,5355,668.3113977362464
deepseek-r1:14b,20,5.614,0.957370516500568,0.9563218390804598,0,0,0.9977011494252873,6521.1356321839085,7669,1161.584544386161
deepseek-r1:14b,30,9.5,0.013693843170216095,0.006896551724137931,0,0,0.006896551724137945,9387.602298850576,15456,988.1686630369027
deepseek-r1:14b,40,9.332,0.0,0.0,0,0,0.0,12096.059770114942,13576,1296.1915741657674
deepseek-r1:14b,50,9.536,0.0,0.0,0,0,0.0,14756.218390804597,16727,1547.4222305793412
deepseek-r1:32b,0,10.3,0.9559812612180209,0.9494252873563218,0,0,0.9862068965517241,734.0758620689655,2089,71.26950117174422
deepseek-r1:32b,5,9.809,0.9619465841192139,0.9586206896551724,0,0,0.993103448275862,2295.6827586206896,3456,234.03840948319805
