model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
deepseek-r1:8b,0,7.123,0.21002490705260232,0.17833333333333334,0.02534825725965116,0.17833333333333334,0.665,1086.32,6161,152.508774392812
deepseek-r1:8b,5,4.248,0.2992554355636087,0.2966666666666667,0.16028516044418045,0.2966666666666667,0.9716666666666667,936.9383333333334,5302,220.55987131198995
deepseek-r1:8b,10,4.348,0.2776907647634391,0.2733333333333333,0.16655877573240452,0.2733333333333333,0.9733333333333334,1098.0566666666666,5198,252.5429316160687
deepseek-r1:8b,20,4.383,0.30411530176184326,0.29833333333333334,0.16134849355685302,0.29833333333333334,0.97,1401.475,5276,319.7524526579968
deepseek-r1:8b,30,4.188,0.31142484661865955,0.30666666666666664,0.20133325591320203,0.30666666666666664,0.9816666666666667,1699.93,5270,405.90496657115574
deepseek-r1:8b,40,4.403,0.29732652087225164,0.295,0.17701574053127686,0.295,0.98,2050.87,5808,465.78923461276406
deepseek-r1:8b,50,4.613,0.3223885888390465,0.32166666666666666,0.23389492416619512,0.32166666666666666,0.9916666666666667,2394.085,6614,518.9865597225232
deepseek-r1:14b,0,6.213,0.34012903000059697,0.32,0.19403738427798858,0.32,0.9516666666666667,659.5533333333333,2059,106.15698267074413
deepseek-r1:14b,5,4.38,0.3519369611079562,0.3466666666666667,0.2237638081446225,0.3466666666666667,0.9733333333333334,732.3733333333333,1885,167.20852359208524
deepseek-r1:14b,10,4.329,0.37269430827696776,0.375,0.28863894300447557,0.375,0.9783333333333333,877.23,2773,202.64033264033264
deepseek-r1:14b,20,4.307,0.38266893014473174,0.37333333333333335,0.30572622487756734,0.37333333333333335,0.9866666666666667,1179.39,2375,273.8309728349199
deepseek-r1:14b,30,4.379,0.353106922528249,0.34,0.25383305233115466,0.34,0.98,1508.3566666666666,3058,344.4523102687067
deepseek-r1:14b,40,4.446,0.3869330938794944,0.36833333333333335,0.3047069072745586,0.36833333333333335,0.9833333333333333,1841.115,3663,414.10593792172745
deepseek-r1:14b,50,4.558,0.3699684103342793,0.3566666666666667,0.2526646967206978,0.3566666666666667,0.9866666666666667,2169.5383333333334,5470,475.9847155185023
deepseek-r1:32b,0,12.403,0.3474889323966393,0.32666666666666666,0.1263675239605074,0.32666666666666666,0.9033333333333333,570.785,2126,46.01991453680561
deepseek-r1:32b,5,8.354,0.38112413049296945,0.37166666666666665,0.25619423406951664,0.37166666666666665,0.9783333333333333,714.6366666666667,1648,85.5442502593568
deepseek-r1:32b,10,8.407,0.3779160903975529,0.37333333333333335,0.29475716400524343,0.37333333333333335,0.99,865.6833333333333,2178,102.97172990761666
deepseek-r1:32b,20,8.353,0.3838279522105803,0.375,0.30397537539453345,0.375,0.9883333333333333,1167.7433333333333,2165,139.79927371403488
deepseek-r1:32b,30,8.255,0.4014596782971781,0.385,0.2752948835862049,0.385,0.985,1489.235,2369,180.4039975772259
deepseek-r1:32b,40,8.405,0.39423310162815095,0.38166666666666665,0.2457025761883366,0.38166666666666665,0.9783333333333333,1822.6233333333332,4105,216.84989093793376
deepseek-r1:32b,50,8.433,0.41135816658417634,0.3983333333333333,0.32053472893517104,0.3983333333333333,0.9916666666666667,2142.6966666666667,6345,254.08474643266533
deepseek-r1:70b,0,20.757,0.3397440950309676,0.33,0.19863274661319258,0.33,0.965,622.5083333333333,1344,29.990284402049106
deepseek-r1:70b,5,16.652,0.403276884246974,0.4,0.33283218593070385,0.4,0.99,730.6183333333333,1846,43.87571062535031
deepseek-r1:70b,10,17.251,0.44566297905385055,0.44,0.39309370030705965,0.44,0.9866666666666667,890.8366666666667,4621,51.63971170753386
