model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
deepseek-r1:8b,0,2.559,0.9277154622934062,0.9128856624319419,0.5840784809777648,0.5444646098003629,0.9709618874773139,208.7568058076225,1179,81.57749347699199
deepseek-r1:8b,5,2.479,0.8999742273534619,0.8656987295825771,0.562939708557235,0.5099818511796733,0.9909255898366606,789.7640653357532,1760,318.58171251946476
deepseek-r1:8b,10,2.641,0.9051585727512812,0.8693284936479129,0.65418449420566,0.604355716878403,0.985480943738657,1073.7586206896551,2044,406.5727454334173
deepseek-r1:8b,20,2.636,0.9034844546166073,0.8820326678765881,0.6717990309766831,0.631578947368421,0.9818511796733213,1693.7622504537205,2664,642.5501708853265
deepseek-r1:8b,30,2.828,0.8768184442079935,0.8493647912885662,0.6816624394637101,0.6406533575317604,0.9836660617059891,2247.75499092559,3218,794.8214253626556
deepseek-r1:8b,40,2.968,0.9112003013415153,0.8892921960072595,0.6983706536016622,0.6678765880217786,0.9836660617059891,2867.7531760435572,3838,966.2241159176406
deepseek-r1:8b,50,3.044,0.8665652267407372,0.8348457350272233,0.662555193731923,0.6206896551724138,0.9818511796733213,3574.75499092559,4545,1174.361035126672
deepseek-r1:14b,0,6.14,0.9309686435795101,0.925589836660617,0.6219559250675998,0.5843920145190563,0.9963702359346642,189.67876588021778,1244,30.892307146615277
deepseek-r1:14b,5,4.555,0.9162172238985388,0.8892921960072595,0.6157333892256558,0.5716878402903811,0.9981851179673321,782.6769509981851,1837,171.82809023011748
deepseek-r1:14b,10,4.585,0.9418878958147652,0.9274047186932849,0.6811646075177995,0.6460980036297641,1.0,1070.6787658802177,2125,233.51772429230485
deepseek-r1:14b,20,4.609,0.9406172260130322,0.9310344827586207,0.7209531042978505,0.6932849364791288,1.0,1694.6787658802177,2749,367.6890357735339
deepseek-r1:14b,30,4.758,0.9476893502123355,0.9401088929219601,0.7906346703125987,0.7695099818511797,0.9981851179673321,2250.682395644283,3305,473.0311886600007
deepseek-r1:14b,40,4.94,0.9403785095432211,0.9274047186932849,0.752752047011962,0.7241379310344828,0.9945553539019963,2873.6787658802177,3928,581.7163493684651
deepseek-r1:14b,50,4.896,0.9389626802156139,0.9310344827586207,0.7724257825237729,0.7513611615245009,1.0,3588.6787658802177,4643,732.9817740768418
