model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
deepseek-r1:8b,0,2.961,0.9224724104048202,0.8896551724137931,0,0,0.9287356321839081,758.8045977011494,2022,256.2663281665483
deepseek-r1:8b,5,3.156,0.9239766199978043,0.9080459770114943,0,0,0.9632183908045977,2953.1011494252875,4092,935.7101233920429
deepseek-r1:8b,10,3.208,0.957129772870734,0.9517241379310345,0,0,0.9885057471264368,5545.774712643678,7344,1728.7327657866826
deepseek-r1:8b,20,3.187,0.934682717511922,0.9218390804597701,0,0,0.9724137931034482,9776.23448275862,10588,3067.535137357584
deepseek-r1:8b,30,3.266,0.9035608027425901,0.896551724137931,0,0,0.9816091954022989,12354.758620689656,13466,3782.840973879258
deepseek-r1:8b,40,3.117,0.8871754035576165,0.8666666666666667,0,0,0.9517241379310345,14333.820689655173,16920,4598.59502395097
deepseek-r1:8b,50,2.519,0.9021892566782141,0.8873563218390804,0,0,0.9655172413793104,16422.42528735632,17702,6519.4225039127905
deepseek-r1:14b,0,6.355,0.9582507740285969,0.9517241379310345,0,0,0.9862068965517241,823.3655172413793,2030,129.56184378306517
deepseek-r1:14b,5,5.334,0.9585555721261536,0.9586206896551724,0,0,1.0,2941.8988505747125,3849,551.5370923462153
deepseek-r1:14b,10,5.048,0.9597048079461152,0.9586206896551724,0,0,0.9977011494252873,5517.006896551724,6931,1092.9094486037488
deepseek-r1:14b,20,5.761,0.9746939932916353,0.9747126436781609,0,0,1.0,9817.57011494253,10921,1704.1433978376201
deepseek-r1:14b,30,6.002,0.9632183908045977,0.9632183908045977,0,0,1.0,12416.103448275862,14035,2068.661021038964
deepseek-r1:14b,40,5.116,0.9710842267837446,0.967816091954023,0,0,0.993103448275862,14365.52183908046,16009,2807.959702713147
deepseek-r1:14b,50,4.425,0.972245149261928,0.9701149425287356,0,0,0.9954022988505747,16477.77011494253,17670,3723.7898564841876
deepseek-r1:32b,0,10.329,0.9603764592899373,0.9471264367816092,0,0,0.9724137931034482,735.1540229885057,1728,71.17378477960168
deepseek-r1:32b,5,10.066,0.9549073986477846,0.9494252873563218,0,0,0.9885057471264368,2923.593103448276,4473,290.44239056708483
deepseek-r1:32b,10,10.267,0.9642444041137327,0.960919540229885,0,0,0.993103448275862,5529.243678160919,6686,538.5452106906516
deepseek-r1:32b,20,11.637,0.9511328163669363,0.9402298850574713,0,0,0.9770114942528736,9835.777011494252,11301,845.2158641827148
deepseek-r1:32b,30,12.025,0.9617467771811327,0.9540229885057471,0,0,0.9839080459770115,12433.002298850575,14565,1033.929505101919
deepseek-r1:32b,40,12.827,0.9710713118892751,0.9655172413793104,0,0,0.9885057471264368,14461.356321839081,15676,1127.415320951047
deepseek-r1:32b,50,14.788,0.9627085455162714,0.9494252873563218,0,0,0.9724137931034482,16663.816091954024,17954,1126.8471796019762
deepseek-r1:70b,0,87.517,0.9712400097039378,0.9701149425287356,0,0,0.9977011494252873,777.0068965517241,1968,8.878353880408653
deepseek-r1:70b,5,78.861,0.9722877452402289,0.967816091954023,0,0,0.9908045977011495,2900.43908045977,3956,36.77913138889654
deepseek-r1:70b,10,80.085,0.9747183092244107,0.9747126436781609,0,0,1.0,5491.243678160919,6523,68.56769280340788
deepseek-r1:70b,20,89.656,0.980433312755387,0.9793103448275862,0,0,0.9977011494252873,9760.818390804598,12091,108.86966171594312
deepseek-r1:70b,30,97.935,0.9688929909380994,0.9655172413793104,0,0,0.993103448275862,12363.993103448276,13427,126.24693014191327
deepseek-r1:70b,40,91.378,0.9723869531074301,0.9701149425287356,0,0,0.9954022988505747,14332.8,15956,156.85175862899166
deepseek-r1:70b,50,94.095,0.9734295642876236,0.967816091954023,0,0,0.9885057471264368,16485.57011494253,17814,175.20134029377257
DeepSeek-R1,0,20.581,0.7795043513806023,0.6505747126436782,0,0,0.6689655172413793,619.5310344827586,1705,30.102086122285538
DeepSeek-R1,5,20.144,0.9931018280617766,0.993103448275862,0,0,1.0,2887.7057471264366,4352,143.35314471437832
DeepSeek-R1,10,17.249,0.9861930308747325,0.9862068965517241,0,0,1.0,5530.8643678160915,6738,320.6484067375553
DeepSeek-R1,20,16.438,0.9839042654774787,0.9839080459770115,0,0,1.0,9793.505747126437,10898,595.7845082812044
DeepSeek-R1,30,16.203,0.9884972696780161,0.9885057471264368,0,0,1.0,12388.696551724139,13374,764.5927637921459
DeepSeek-R1,40,15.774,0.9862002652519894,0.9862068965517241,0,0,1.0,14409.073563218391,15434,913.4698594661083
DeepSeek-R1,50,15.296,0.9885030467696275,0.9885057471264368,0,0,1.0,16579.064367816092,17653,1083.8823462222865
GPT-4o-mini,0,15.603,0.9815907078329766,0.9816091954022989,0,0,1.0,449.616091954023,1399,28.81600281702384
GPT-4o-mini,5,2.224,0.9885083223747321,0.9885057471264368,0,0,1.0,2616.3724137931035,3551,1176.4264450508558
GPT-4o-mini,10,2.145,0.9885083223747321,0.9885057471264368,0,0,1.0,5216.572413793104,6165,2431.968491278836
GPT-4o-mini,20,2.237,0.9885083223747321,0.9885057471264368,0,0,1.0,9485.0,10415,4240.053643272239
GPT-4o-mini,30,2.167,0.9908045977011494,0.9908045977011494,0,0,1.0,12077.926436781609,13018,5573.570113881684
GPT-4o-mini,40,2.397,0.9885083223747321,0.9885057471264368,0,0,1.0,14101.154022988505,15033,5882.834385894245
GPT-4o-mini,50,2.521,0.9908045977011494,0.9908045977011494,0,0,1.0,16267.050574712644,17208,6452.618236696805
GPT-4o,0,6.931,0.9769883847912206,0.9770114942528736,0,0,1.0,467.23218390804595,1415,67.41194400635491
GPT-4o,5,3.09,0.9884972696780161,0.9885057471264368,0,0,1.0,2645.593103448276,3608,856.178997879701
GPT-4o,10,2.793,0.9908001768346597,0.9908045977011494,0,0,1.0,5242.947126436781,6181,1877.1740517138492
GPT-4o,20,2.936,0.9908001768346597,0.9908045977011494,0,0,1.0,9511.719540229886,10437,3239.686491903912
GPT-4o,30,2.291,0.9885030467696275,0.9885057471264368,0,0,1.0,12106.305747126436,13052,5284.288846410492
GPT-4o,40,2.641,0.9931018280617766,0.993103448275862,0,0,1.0,14130.167816091955,15073,5350.309661526677
GPT-4o,50,2.471,0.9815802542782907,0.9816091954022989,0,0,1.0,16295.004597701149,17227,6594.498016066835
